week,Hepatitis_C_virus,Vaccino_antipoliomielite,Febbre,Influenzavirus_A,Polipnea,Epatite_virale,Vaccino,Influenzavirus_A_sottotipo_H1N1,Bronchite,Incontinenza_urinaria
2015-42,-0.10638334629005788,-0.07821020507066358,-0.33425200066191446,-0.028263129238231946,-0.4245061816114822,-0.5142746734678105,-0.205314945603072,-0.04779100304981362,-0.31064254040598305,-0.3175094666445263
2015-43,-0.10638334629005788,-0.07821020507066358,-0.18928130222786702,-0.028263129238231946,-0.263215859030837,-0.03825128165494503,-0.08270033713630298,-0.04779100304981362,-0.19532128834667498,-0.2665116839394265
2015-44,-0.10638334629005788,-0.07821020507066358,-0.1775606758468506,-0.028263129238231946,-0.3317642461276112,-0.12129221732745965,-0.06010766330432228,-0.04779100304981362,-0.1854366095987343,-0.27242447034001777
2015-45,-0.10638334629005788,-0.07821020507066358,-0.15997973627532594,-0.028263129238231946,-0.3196674719340628,-0.10959631089471111,-0.08950007392068551,-0.04779100304981362,-0.16587318291010167,-0.28498914144127424
2015-46,-0.10638334629005788,-0.07821020507066358,0.015541447315797131,-0.028263129238231946,-0.27128037515986925,0.1559007651286807,-0.030276559992192427,-0.04779100304981362,-0.04149097533184796,-0.26946807713972215
2015-47,-0.10638334629005788,-0.07821020507066358,-0.09474772551540664,-0.028263129238231946,-0.27128037515986925,0.28806450781873916,0.05153962776828136,-0.04779100304981362,-0.0748517661061478,-0.27464176524023953
2015-48,-0.10638334629005788,-0.07821020507066358,-0.1224160894312487,-0.028263129238231946,0.015009947420775889,0.369935852847979,0.011179899757752737,-0.04779100304981362,-0.12118619773711979,-0.2524688162380222
2015-49,-0.10638334629005788,-0.07821020507066358,-0.10310587711498392,-0.028263129238231946,-0.061602955805030564,0.40034520957312514,-0.001542188419479112,-0.04779100304981362,-0.10162277104848717,-0.2524688162380222
2015-50,-0.10638334629005788,-0.07821020507066358,-0.11492257420404146,-0.028263129238231946,-0.013215859030837013,0.20970193471932397,-0.022380091468393346,-0.04779100304981362,-0.08741354534832242,-0.2591207009386874
2015-51,-0.10638334629005788,-0.07821020507066358,-0.08427601833892474,-0.028263129238231946,0.06742930225948557,0.44829842594739416,-0.046727536083440505,-0.04779100304981362,-0.1014168402412384,-0.27759815844053515
2015-52,-0.10638334629005788,-0.07821020507066358,-0.1066604933125053,-0.028263129238231946,-0.16240940741793378,0.48572532653218947,-0.010535388682694729,-0.04779100304981362,-0.11150744979642786,-0.25542520943831787
2016-01,-0.10638334629005788,-0.07821020507066358,-0.08369959409067804,-0.028263129238231946,-0.053538439675998306,0.45414637916376843,-0.018431857206493808,-0.04779100304981362,-0.06002474798423676,-0.2583816026386135
2016-02,-0.10638334629005788,-0.07821020507066358,-0.08917562444902177,-0.028263129238231946,-0.230957794514708,0.4670118762397918,-0.011412774074227961,-0.04779100304981362,-0.08967878422805883,-0.26355529073913087
2016-03,-0.10638334629005788,-0.07821020507066358,-0.18169171629261865,-0.028263129238231946,-0.27531263322438543,0.1360177241930082,-0.06208178043527205,-0.04779100304981362,-0.15042837236644432,-0.2665116839394265
2016-04,-0.10638334629005788,-0.07821020507066358,-0.14681804927369274,-0.028263129238231946,-0.25918360096632087,0.23426333822809592,-0.0576948534776059,-0.04779100304981362,-0.13518949263003577,-0.24951242303772658
2016-05,-0.10638334629005788,-0.07821020507066358,-0.1750628374377815,-0.028263129238231946,-0.2995061816114822,0.30443877682458714,-0.08686791774608582,-0.04779100304981362,-0.18873150251471452,-0.26798988053957434
2016-06,-0.10638334629005788,-0.07821020507066358,-0.1739099889412881,-0.028263129238231946,-0.2672481170953531,0.23309374758482104,-0.04804361417074035,-0.04779100304981362,-0.17534600004354484,-0.2532079145380961
2016-07,-0.10638334629005788,-0.07821020507066358,-0.18159564558457755,-0.028263129238231946,-0.2188610203211596,0.26818146688306665,-0.04321799451730758,-0.04779100304981362,-0.15701815819840478,-0.25394701283817006
2016-08,-0.10638334629005788,-0.07821020507066358,-0.17611961522623382,-0.028263129238231946,-0.23902231064374024,0.14771363062575674,-0.048482306866506966,-0.04779100304981362,-0.1842010247552417,-0.26207709413898306
2016-09,-0.10638334629005788,-0.07821020507066358,-0.09474772551540664,-0.028263129238231946,-0.2027319880630951,-0.048777597444418716,-0.041024531038474504,-0.04779100304981362,-0.16957993744057942,-0.2502515213378005
2016-10,-0.10638334629005788,-0.07821020507066358,-0.14412806944854142,-0.028263129238231946,-0.2995061816114822,-0.17392379627482807,-0.05572073634665613,-0.04779100304981362,-0.1947034959249287,-0.25542520943831787
2016-11,-0.10638334629005788,-0.07821020507066358,-0.12174359447496087,-0.028263129238231946,-0.24305456870825637,-0.01953783136254737,-0.03400544790620866,-0.04779100304981362,-0.17225703793481337,-0.25616430773839177
2016-12,-0.10638334629005788,-0.07821020507066358,-0.1150186449120826,-0.028263129238231946,-0.2188610203211596,0.0319241569415462,-0.007903232508095036,-0.04779100304981362,-0.184818817176988,-0.25616430773839177
2016-13,-0.10638334629005788,-0.07821020507066358,-0.1004158972898326,-0.028263129238231946,-0.1946674719340628,0.09976041425148773,0.0157861730633022,-0.04779100304981362,-0.1870840560567244,-0.2509906196378744
2016-14,-0.10638334629005788,-0.07821020507066358,-0.08110568497356783,-0.028263129238231946,-0.23499005257922412,-0.0031635623566994156,0.057681325509013975,-0.04779100304981362,-0.17369855358555472,-0.2450778332372831
