season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2016-2017,netherlands,2017-04,2017-05,91.06532465929799,123.5129131035,737.4493267323263,0.48391837268232846
2017-2018,netherlands,2018-08,2018-10,142.37872476346757,169.66161532299998,729.0747434799852,0.9201933441543921
2018-2019,netherlands,2019-05,2019-06,144.85942656451522,107.51,892.0328522854803,0.6549229129136082
