week,Neoplasia,Tosse,Mineral_Miracle_Solution,Virus_a_RNA,Pandemia_influenzale,Antivirale,Febbre,Tosse_post-virale,Influenzavirus_A_sottotipo_H1N1,Virus_respiratorio_sinciziale_umano
2018-42,-0.008570355768328188,0.2140077821011673,-0.03655704199182461,-0.31470487007399756,-0.1912419284057426,0.15796385327635332,-0.0429921839512554,-0.20652935407033768,-0.0823826714801444,-0.24982759701586107
2018-43,-0.020566976438561924,0.23735408560311283,0.03952991452991452,-0.2207451385303734,-0.11300231960378662,-0.0764111467236467,-0.07827013141613016,-0.23931623931623933,-0.07805054151624549,-0.23760265814055545
2018-44,-0.020454332113019825,0.2264591439688716,0.021413972500929017,-0.16705386336258815,-0.09344241740329763,-0.001758368945868918,-0.09430556208198233,-0.19560039232170381,-0.025342960288808666,-0.20581781706476085
2018-45,0.004777996808410759,0.20933852140077822,0.03228353771832032,0.024221304422646743,-0.16190207510500912,0.043380519943019974,-0.07964459690177464,-0.23931623931623933,-0.07617328519855596,-0.14469312268823273
2018-46,0.01170562282924996,0.25058365758754864,-0.04018023039762171,0.5107984856307004,-0.13500720957933673,0.017338853276353303,-0.07093964882602631,-0.19560039232170381,-0.07155234657039711,-0.11779825716256034
2018-47,0.004721674645639709,0.23035019455252917,-0.06191936083240432,-0.073094131818964,-0.13256222180427563,0.15622774216524218,-0.027262190059990886,-0.2229227966932885,-0.07054151624548737,-0.11535326938749922
2018-48,-0.019722143996996167,0.2077821011673152,-0.029310665180230403,0.020865599724660167,-0.1716820262052536,0.09025551994301997,0.0051141080463011105,-0.2502452010648732,-0.07574007220216607,-0.03955864836060436
2018-49,-0.059147657936731456,0.3105058365758755,-0.003948346339650693,-0.04960419893305795,-0.15456711177982574,0.050324964387464415,0.07902980749651492,-0.19560039232170381,-0.07805054151624549,0.12914550811861325
2018-50,-0.0170750023467568,0.45525291828793774,0.04677629134150873,0.1953622440199622,-0.12522725847909225,0.17706107549857553,0.22945741898093763,-0.18467143057306992,-0.07285198555956679,0.11692056924330763
2018-51,-0.07491786351262557,0.5688715953307393,-0.04742660720921591,-0.1469196351746687,-0.020092784151463886,0.14928329772079774,0.3814122143382987,-0.19560039232170381,-0.0615884476534296,0.08269074039245188
2018-52,-0.1013329578522482,0.5867704280155642,0.006921218877740612,-0.16369815866460158,-0.000532881950974889,0.5954638532763533,0.688681609573485,-0.06445285133809725,-0.03935018050541516,0.004451131590495886
2019-01,-0.30972496010513473,-0.4132295719844358,0.03952991452991452,-0.03282567544312507,0.2464108833301987,0.6440749643874644,0.7346498441489279,0.03937228527392461,-0.008592057761732852,0.4592188577518651
2019-02,0.007481460621421179,-0.4132295719844358,0.014167595689334815,0.044355532610566205,0.058146824650492104,0.24650551994301997,0.4513572357188729,0.08308813226846014,-0.02851985559566787,0.35652937119929784
2019-03,0.012099877968647312,-0.4132295719844358,0.11199368264585656,0.15173808294613667,0.031251959124819734,0.28817218660968663,0.3288770891092211,-0.06445285133809725,-0.046137184115523464,0.27095479907215847
2019-04,0.005453862761663364,-0.4132295719844358,0.006921218877740612,0.15173808294613667,0.036141934674941985,0.13365829772079774,0.2702332283883903,-0.03713044696651254,-0.05696750902527076,0.38586922450003136
2019-05,0.08757157608185485,-0.4132295719844358,0.014167595689334815,0.2658320426776803,-0.06899253965268638,0.15969996438746442,0.25022711965289857,0.001120919153706035,-0.05956678700361011,0.5227885399034543
2019-06,0.02843330517225193,-0.4132295719844358,0.02866034931252322,0.2356307003958011,-0.044542661902075134,0.15449163105413108,0.12881600175430355,-0.04259492784082949,-0.06808664259927798,0.613253087580716
2019-07,0.03248850089176756,0.4443579766536965,-0.0329338535860275,0.252409223885734,-0.08855244185317537,0.14233885327635332,0.05627476778973422,-0.09177525570968194,-0.07184115523465703,0.4641088333019873
2019-08,-0.006655402234112474,0.2840466926070039,0.02866034931252322,0.16851660643606955,-0.1496771362297035,0.18053329772079774,0.0003798380401923753,-0.11363317920694971,-0.07574007220216607,0.40053915115039807
2019-09,0.01057917957382895,0.3151750972762646,0.07938498699368264,-0.1032954741008432,-0.27437151275782085,0.06594996438746442,-0.042381310402080076,-0.13002662182990052,-0.08368231046931408,0.19516017804526362
2019-10,-0.022425607810006586,0.27003891050583656,0.05764585655890003,-0.19389950094648079,-0.22302676948153724,0.059005519943019974,-0.0475737355700703,-0.11363317920694971,-0.08064981949458484,0.1560403736442856
2019-11,-0.0005726086548390295,0.24669260700389106,0.06851542177629133,-0.005980037859232451,-0.25236662278227073,-0.017383368945868918,-0.044366649436899865,-0.06991733221241418,-0.08339350180505416,-0.017553758385054234
2019-12,-0.003670327607246802,0.29416342412451363,0.09750092902266815,-0.16705386336258815,-0.2205817817064761,0.09719996438746442,-0.024971414250583433,-0.15734902620148522,-0.08512635379061372,-0.11046329383737698
2019-13,-0.02924058950530369,0.37976653696498053,0.1953270159791899,-0.16369815866460158,-0.27437151275782085,0.1093527421652422,-0.06971790172767568,-0.13002662182990052,-0.08714801444043321,-0.17892295153908847
2019-14,-0.04123721017553742,0.17976653696498054,0.08300817539947974,-0.005980037859232451,-0.18635195285562037,0.06594996438746442,-0.10331594693231831,-0.19013591144738687,-0.08888086642599279,-0.11046329383737698
2019-15,-0.06652586125973906,0.06614785992217899,0.010544407283537713,-0.2341679573223197,-0.257256598332393,0.006922186609686637,-0.1462298137618846,-0.21199383494465462,-0.09104693140794223,-0.25716256034104445
