Ort_in_Mazedonien,118
Verkehr_(Bielefeld),23
Französischer_Botschafter_in_Österreich,25
Ansichtskartenverleger,26
Komponist_(Griechenland),84
200-Meter-Läufer_(Frankreich),65
Rechtsgeschichte_(Vereinigte_Staaten),41
Person_(Wolfenbüttel),137
Album_1964,58

