week,FSME-Impfstoff,Virusinfektion,Influenzaimpfstoff,Unwohlsein_und_Ermüdung,Pruritus_ani,Erkältung,Impfstoff,Bradykardie,Viren,Schüttelfrost
2018-42,-0.08395168248490077,-0.39123339377567257,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.11074249320372352,-0.22936229821475723,-0.17631990194576377,-0.15037824044118983,-0.08724675577666556
2018-43,-0.08395168248490077,-0.12905990135387313,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10932917662080896,-0.058737127589586616,-0.07530405472918514,0.4763277721003078,-0.08690397698324692
2018-44,-0.08395168248490077,-0.19081417416909402,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10948621179668835,-0.10432817318063221,-0.10423538345734443,0.26865532650827534,-0.08656119818982827
2018-45,-0.08395168248490077,-0.2554707365683201,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10932917662080896,-0.1477352165876756,-0.1160192111696565,0.08686508920346775,-0.08713249617885935
2018-46,-0.08395168248490077,-0.09536109451736878,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10917214144492955,-0.053004121856580884,-0.05644993038948583,-0.1777359190345748,-0.08667545778763448
2018-47,-0.08395168248490077,-0.0758512589804452,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10932917662080896,0.014972946120487092,-0.05246780930049761,-0.1777359190345748,-0.08701823658105313
2018-48,-0.08395168248490077,-0.08568679590401825,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10901510626905016,0.014972946120487092,-0.03727073494048136,-0.1777359190345748,-0.08678971738544071
2018-49,-0.08395168248490077,-0.07891478687467288,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10956472938462805,0.01469994584748682,-0.036783128276523615,-0.1777359190345748,-0.08667545778763448
2018-50,-0.08395168248490077,-0.10584158468183186,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10980028214844714,-0.0014070702595292874,-0.04629145822369956,-0.1777359190345748,-0.08701823658105313
2018-51,-0.08395168248490077,-0.09181385169247358,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10964324697256775,0.010604941752482725,-0.055474717061570346,-0.1777359190345748,-0.08667545778763448
2018-52,-0.08395168248490077,-0.090362706900471,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10972176456050745,0.0037799349274758995,-0.045478780450436664,-0.1777359190345748,-0.08678971738544071
2019-01,-0.08395168248490077,-0.04457102679727848,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10980028214844714,-0.0022260710785301065,-0.0319883294142725,-0.1777359190345748,-0.08656119818982827
2019-02,-0.08395168248490077,-0.02199766336612724,-0.1346448087431694,-0.18613673501660427,-0.15175590742087694,-0.10940769420874866,-0.0377161065685656,-0.043122014907974245,-0.1777359190345748,-0.08656119818982827
2019-03,-0.08395168248490077,-0.11164616384984218,-0.1346448087431694,-0.18613673501660427,-0.13924168671552994,-0.10987879973638684,-0.0437221125745716,-0.0698591136483237,-0.1777359190345748,-0.08713249617885935
2019-04,-0.08395168248490077,-0.0868154640755758,-0.1346448087431694,-0.18613673501660427,-0.14379231242656523,-0.10972176456050745,-0.033075101927560954,-0.04499117378647892,-0.1777359190345748,-0.08701823658105313
2019-05,-0.08395168248490077,-0.17114310032194793,-0.1346448087431694,-0.18613673501660427,-0.15061825099311812,-0.10995731732432654,-0.0942271630796221,-0.07140320141752321,-0.1777359190345748,-0.08713249617885935
2019-06,-0.08395168248490077,-0.13696057855477606,-0.1346448087431694,-0.18613673501660427,-0.1483429381376005,-0.10932917662080896,-0.052185121037580065,-0.05783148260403276,-0.1777359190345748,-0.08713249617885935
2019-07,-0.08395168248490077,-0.07665745053155774,-0.1346448087431694,-0.18613673501660427,-0.15289356384863576,-0.10987879973638684,-0.0035910724435314714,-0.046697797110331014,-0.1777359190345748,-0.08701823658105313
2019-08,-0.08395168248490077,-0.06408086233420206,-0.1346448087431694,-0.18613673501660427,-0.14720528170984168,-0.11019287008814564,-0.032256101108560135,-0.04206553380273247,-0.1777359190345748,-0.08678971738544071
2019-09,-0.08395168248490077,-0.11374226188273479,-0.1346448087431694,-0.1797058668494017,-0.14606762528208286,-0.11003583491226625,-0.038535107387566415,-0.028087476102610573,0.3135342149873114,-0.08678971738544071
2019-10,-0.08395168248490077,-0.14873097520101922,-0.1346448087431694,-0.1797058668494017,-0.15061825099311812,-0.11042842285196473,-0.053277122129581155,-0.04125285602946958,0.3663437563619579,-0.08724675577666556
2019-11,-0.08395168248490077,-0.10245558016715917,-0.1346448087431694,-0.1797058668494017,-0.1494805945653593,-0.11034990526402504,-0.011508080360539389,-0.01256533063328916,0.3889676343897459,-0.08678971738544071
2019-12,-0.08395168248490077,-0.08794413224713336,-0.1346448087431694,-0.182921300933003,-0.15175590742087694,-0.11027138767608534,-0.012327081179540208,-0.025405639450843,0.40236982300403334,-0.08701823658105313
2019-13,-0.08395168248490077,-0.04779579300172866,-0.1346448087431694,-0.18613673501660427,-0.15061825099311812,-0.11003583491226625,-0.015603084455543483,-0.010939975086763358,0.4980294811867458,-0.08656119818982827
2019-14,-0.08395168248490077,-0.07891478687467288,-0.1346448087431694,-0.17649043276580043,-0.15289356384863576,-0.10995731732432654,-0.005775074627533656,-0.010614903977458198,0.4806312271599414,-0.08678971738544071
