,week,incidence
0,2011-42,19.8448797383
1,2011-43,9.815198221000001
2,2011-44,16.4097845257
3,2011-45,21.0746958258
4,2011-46,20.7905426237
5,2011-47,19.2950588789
6,2011-48,21.842437698200005
7,2011-49,18.3578815384
8,2011-50,20.7270609733
9,2011-51,13.471965818900001
10,2011-52,8.2771009701
11,2012-01,7.2928107883
12,2012-02,20.7370609733
13,2012-03,19.9054718857
14,2012-04,20.9963428865
15,2012-05,22.8439824967
16,2012-06,28.810644675300004
17,2012-07,27.800850804699998
18,2012-08,34.0178720268
19,2012-09,40.8775594667
20,2012-10,36.7396140285
21,2012-11,31.9448999809
22,2012-12,26.351981150300002
23,2012-13,19.213729884000003
24,2012-14,7.2472517579
25,2012-15,7.9359645778
