,week,incidence
0,2010-42,22.7998875342
1,2010-43,11.7166687115
2,2010-44,12.882447665099999
3,2010-45,24.129028959899998
4,2010-46,27.196278404
5,2010-47,22.615404237899998
6,2010-48,30.222407024000002
7,2010-49,25.1303246172
8,2010-50,27.8074866447
9,2010-51,19.9084111578
10,2010-52,9.8407764791
11,2011-01,18.730904258900004
12,2011-02,39.2315950427
13,2011-03,47.61903334189999
14,2011-04,51.4661283779
15,2011-05,57.8868567477
16,2011-06,45.9083049721
17,2011-07,45.317878022
18,2011-08,34.7915070982
19,2011-09,38.4306113544
20,2011-10,27.908129083000002
21,2011-11,25.706333337800004
22,2011-12,23.0077858198
23,2011-13,18.444792911300002
24,2011-14,0.67
25,2011-15,2.58
