week,Toxoidimpfstoff,Impfstoff,Sporotrichose,Fieber,Hepatitis-B-Impfstoff,Virusinfektion,Aortitis,Viren,Biologische_Sicherheitsstufe,Influenzavirus
2015-42,-0.21530485643388866,-0.0539473236754404,-0.05449120603015075,-0.09097860164643912,-0.09263536742587022,-0.12911622639996792,0.034580098800282295,0.24938581183970338,0.9242723364769155,-0.09400180065808222
2015-43,-0.2775168380007089,-0.06986244303883563,-0.057003768844221106,-0.09097860164643912,-0.08146218306832832,-0.1668094694084793,0.14467184191954835,0.30219535321434987,-0.0038418929667083275,-0.09400180065808222
2015-44,-0.19687167671038636,-0.024769604842549156,-0.04569723618090452,-0.09097860164643912,-0.09263536742587022,-0.11695711575206101,-0.07551164431898376,0.3248192312421379,0.10891044578267621,-0.09400180065808222
2015-45,-0.16000531726338174,-0.025653778140515556,-0.00675251256281407,-0.09097860164643912,-0.09263536742587022,-0.10132397349046643,0.034580098800282295,0.3382214198564254,-0.021567151460061357,-0.09400180065808222
2015-46,-0.1116182204891882,-0.029190471332381163,-0.013033919597989949,-0.09097860164643912,-0.09263536742587022,-0.05807227990005476,-0.029640084685956237,0.4338810780391378,-0.016151100253759043,-0.09400180065808222
2015-47,-0.09779333569656147,-0.018580391756784345,-0.04444095477386935,-0.09097860164643912,-0.08704877524709928,-0.09159668497214092,-0.029640084685956237,0.4164828240123334,-0.03338399045563004,-0.09400180065808222
2015-48,-0.10700992555831262,-0.011212280940397668,-0.029365577889447235,-0.09097860164643912,-0.09263536742587022,-0.10861943987921056,0.0437544107268878,0.4198641101306169,-0.010735049047456728,-0.09400180065808222
2015-49,-0.10009748316199926,-0.022706533813960886,-0.021827889447236182,-0.09097860164643912,-0.09263536742587022,-0.06797326999906465,0.052928722653493306,0.44974238383035875,-0.012704522213384842,-0.09400180065808222
2015-50,0.11418823112371503,-0.012096454238364068,0.04224246231155779,-0.09097860164643912,-0.09263536742587022,-0.08551712964818747,-0.038814396612561745,0.40037560650341913,0.03603993864333598,-0.09400180065808222
2015-51,0.31925735554767815,-0.0816514203450543,0.06485552763819095,-0.09097860164643912,-0.09263536742587022,-0.0841275170027124,0.17219477769936486,0.27078013127902467,-0.017628205128205128,0.04308139233619194
2015-52,-0.10700992555831262,-0.1685951279784171,-0.00675251256281407,-0.09097860164643912,-0.08704877524709928,-0.19043288438155553,-0.020465772759350735,0.028188221774536778,-0.0274755709578457,0.018157175428142092
2016-01,0.10957993619283946,-0.178615758688703,0.010835427135678392,-0.09097860164643912,-0.08146218306832832,-0.24410667281303028,-0.2773465067043049,-0.24188432218218275,-0.04076951482786047,-0.09400180065808222
2016-02,-0.07475186104218359,-0.02830629803441476,-0.014290201005025125,-0.09097860164643912,-0.09263536742587022,0.02356746302160583,-0.2773465067043049,-0.24188432218218275,-0.03584583191304019,-0.09400180065808222
2016-03,-0.13926799007444166,0.026807170872157594,0.000785175879396985,-0.09097860164643912,-0.09263536742587022,0.12361957349581114,-0.2773465067043049,-0.24188432218218275,-0.008765575881528613,-0.09400180065808222
2016-04,-0.07705600850762138,0.032996383957922405,-0.01805904522613065,-0.09097860164643912,-0.09263536742587022,0.17850927299207656,-0.2773465067043049,-0.24188432218218275,-0.0136892587963489,-0.09400180065808222
2016-05,-0.08166430343849695,0.023565202112947454,0.00832286432160804,-0.09097860164643912,-0.09263536742587022,0.1703452986999105,-0.2773465067043049,-0.24188432218218275,-0.01319689050486687,-0.09400180065808222
2016-06,-0.02866891173342783,0.04950095218662856,-0.03439070351758794,-0.09097860164643912,-0.09263536742587022,0.15488585801900032,-0.2773465067043049,-0.24188432218218275,0.04884151422186873,-0.09400180065808222
2016-07,-0.10240163062743705,0.010597327076106902,-0.009265075376884422,-0.09097860164643912,-0.08704877524709928,0.06317142341764544,-0.2773465067043049,-0.24188432218218275,0.025700204522213384,-0.09400180065808222
2016-08,-0.08627259836937254,0.0005766963658210188,-0.008008793969849246,-0.09097860164643912,-0.09263536742587022,0.01870381876244307,-0.2773465067043049,-0.24188432218218275,0.007482577737378329,-0.09400180065808222
2016-09,-0.09088089330024811,-0.012685903103675003,-0.01931532663316583,-0.09097860164643912,-0.09263536742587022,0.005328797049745484,-0.2773465067043049,-0.24188432218218275,-0.0028571563837442703,-0.09400180065808222
2016-10,-0.0931850407656859,0.014723469133283441,-0.02559673366834171,-0.09097860164643912,-0.09263536742587022,0.09235328897262199,-0.2773465067043049,-0.24188432218218275,-0.01664346854524107,-0.09400180065808222
2016-11,-0.037885501595178984,0.015018193565938908,-0.03815954773869347,-0.09097860164643912,-0.09263536742587022,0.012624263438489621,-0.2773465067043049,-0.24188432218218275,-0.021567151460061357,-0.09400180065808222
2016-12,-0.06323112371499465,0.002934491827064756,0.010835427135678392,-0.09097860164643912,-0.09263536742587022,0.008281723921380017,-0.2773465067043049,-0.24188432218218275,0.3550945915236905,-0.09400180065808222
2016-13,-0.017148174406238892,-0.016222596295540608,0.040986180904522614,-0.09097860164643912,-0.09263536742587022,-0.009783240469795944,-0.2773465067043049,-0.24188432218218275,0.0173299435670189,-0.09400180065808222
2016-14,-0.10470577809287483,-0.044516141830465455,0.03972989949748744,-0.09097860164643912,-0.09263536742587022,-0.08482232332544994,-0.2773465067043049,-0.24188432218218275,0.0173299435670189,-0.09400180065808222
2016-15,-0.16461361219425732,-0.07516748282663403,-0.026853015075376883,-0.09097860164643912,-0.09263536742587022,-0.14943931134004088,-0.2773465067043049,-0.24188432218218275,-0.03732293678748627,-0.09400180065808222
