week,incidence
2010-42,1.25726
2010-43,1.25734
2010-44,1.43414
2010-45,1.51838
2010-46,1.61617
2010-47,1.84378
2010-48,1.72535
2010-49,1.87923
2010-50,2.3371
2010-51,3.03533
2010-52,3.136
2011-1,2.53336
2011-2,2.91288
2011-3,3.44497
2011-4,4.16185
2011-5,4.55159
2011-6,4.46504
2011-7,4.55124
2011-8,4.0822
2011-9,3.38812
2011-10,2.99142
2011-11,2.61542
2011-12,2.09065
2011-13,1.86146
2011-14,1.61377
2011-15,1.42199

