week,incidence
2009-42,7.7151
2009-43,7.55134
2009-44,6.67118
2009-45,5.20633
2009-46,4.04477
2009-47,3.49722
2009-48,2.69023
2009-49,2.47119
2009-50,2.44773
2009-51,2.64594
2009-52,2.61567
2010-1,1.90712
2010-2,1.86738
2010-3,1.88072
2010-4,1.96908
2010-5,2.11387
2010-6,2.09695
2010-7,1.90294
2010-8,1.96951
2010-9,1.92331
2010-10,1.89659
2010-11,1.75181
2010-12,1.52632
2010-13,1.49572
2010-14,1.22313
2010-15,1.17754
