week,Postpoliosyndroom,Picornavirus,Mexicaanse_griep,Hersenvliesontsteking,Koorts,Parotitis,Ebola-uitbraak_in_West-Afrika_in_2014,Flavivirus,Griep,Porte_d'entrée
2018-42,0.009811616954474153,-0.11328125,-0.12731876701582762,-0.39300585855401426,-0.26333198105059286,0.15886911595866815,0.04790896876049711,-0.057362951035643706,-0.22553028366981856,-0.38694638694638694
2018-43,-0.09222919937205645,-0.05078125,-0.14411540768769324,-0.3636342738545607,-0.30212068469128694,0.07677956371986219,-0.10929627141417537,-0.05165410232013466,-0.24853053922821364,-0.38694638694638694
2018-44,0.11185243328100476,0.38671875,-0.15011420792764527,-0.36841569461958806,-0.24904140602507396,0.069316877152698,-0.22720020154517975,-0.05926590060748005,-0.24929721441349348,-0.38694638694638694
2018-45,-0.13304552590266872,0.01171875,-0.14051612754372203,-0.3824184268600252,-0.2844275918025493,0.12901836969001143,-0.08309539805172995,-0.05831442582156188,-0.24648607206746742,-0.38694638694638694
2018-46,-0.19427001569858707,0.12109375,-0.13451732730377003,-0.3824184268600252,-0.27558104535818045,0.08424225028702637,0.12214477662075912,-0.04975115274829832,-0.262586250958344,-0.38694638694638694
2018-47,-0.13304552590266872,-0.03515625,-0.14111600756771725,-0.36500039407313994,-0.26231122569162724,0.28573478760045923,0.11341115216661066,-0.055460001463807355,-0.23166368515205724,-0.38694638694638694
2018-48,-0.2963108320251177,0.07421875,-0.016340962576715443,-0.36226815363598147,-0.2640124846232366,0.1439437428243398,0.05227578098757135,-0.0468967283905438,-0.23038589317659086,-0.38694638694638694
2018-49,-0.03100470957613809,-0.00390625,-0.1159210465599188,-0.36841569461958806,-0.2388338524354176,0.069316877152698,0.0697430298958683,-0.056411476249725534,-0.23243036033733708,-0.38694638694638694
2018-50,-0.19427001569858707,0.27734375,-0.113521526463938,-0.3557790825977301,-0.2469998953071427,0.13648105625717563,-0.0874622102788042,-0.05070262753421649,-0.20738563761819576,-0.38694638694638694
2018-51,-0.11263736263736258,0.18359375,-0.13511720732776522,-0.4022271700294241,-0.26979676499070854,0.13648105625717563,-0.06562814914343301,-0.0468967283905438,-0.26054178379759774,-0.38694638694638694
2018-52,-0.07182103610675034,-0.01953125,-0.12251972682386601,-0.4637025798654897,-0.32525780616117467,-0.07993685419058558,-0.1747984548202889,-0.05165410232013466,-0.29785330948121647,-0.38694638694638694
2019-01,-0.23508634222919933,-0.41015625,-0.10092404596003877,-0.29020531210592687,-0.18099104876069833,-0.5127726750861079,-0.030693651326839128,-0.07734392153992534,-0.18898543317147967,-0.38694638694638694
2019-02,0.009811616954474153,-0.41015625,-0.0505341239444419,-0.2973774432534678,-0.173505509461617,-0.5127726750861079,0.1527124622102788,-0.07734392153992534,-0.17825198057756197,-0.38694638694638694
2019-03,0.11185243328100476,-0.41015625,0.2554046882931106,-0.3233337274064733,-0.12008597900908213,-0.5127726750861079,-0.00885959019146795,-0.07734392153992534,-0.0946843853820598,-0.38694638694638694
2019-04,0.050627943485086396,-0.41015625,0.15522472428591202,-0.25912607713324926,-0.10341364147931009,-0.5127726750861079,0.06100940544171982,-0.07734392153992534,-0.008050089445438283,-0.38694638694638694
2019-05,0.2547095761381476,-0.41015625,0.3051947302847123,-0.29874356347204706,-0.0690482110608004,-0.5127726750861079,-0.07872858582465572,0.9226560784600747,-0.03871709685663174,-0.38694638694638694
2019-06,0.050627943485086396,0.58984375,0.16002376447787364,-0.3448501208490962,-0.11634320935954147,0.039466130884041294,-0.10492945918710114,0.36984922784161606,0.00038333759263991824,-0.38694638694638694
2019-07,-0.05141287284144421,0.32421875,0.09163744174242074,-0.26390749789827656,-0.05475763603528152,0.017078071182548754,-0.07872858582465572,0.3213240137597892,-0.0039611551239458215,-0.38694638694638694
2019-08,-0.01059654631083197,0.32421875,0.013053158599049404,-0.2744949295922656,-0.060882168189075325,0.024540757749712934,-0.20536614040980855,0.4745114542926151,-0.02619473549706108,-0.38694638694638694
2019-09,-0.15345368916797483,0.18359375,0.03164943934290063,-0.29464520281630935,-0.06836770748815664,0.039466130884041294,-0.18353207927443738,0.35748005562467977,-0.03565039611551239,-0.38694638694638694
2019-10,-0.3167189952904238,0.08984375,0.04064763970282865,-0.2925960224884405,-0.10205263433402259,-0.07247416762342139,-0.021960026872690656,0.3317902364048891,-0.08931765908510095,-0.38694638694638694
2019-11,0.050627943485086396,0.10546875,-0.00014420192884501598,-0.241708044346364,-0.1530904022823043,0.039466130884041294,-0.07872858582465572,0.4174229671375247,-0.134295936621518,-0.38694638694638694
2019-12,-0.13304552590266872,0.24609375,-0.09612500576807717,-0.3834430170239596,-0.2483609024524302,0.09916762342135473,-0.1747984548202889,0.2613811022469443,-0.1841298236647074,-0.38694638694638694
2019-13,-0.19427001569858707,0.43359375,-0.07452932490424993,-0.3352872793190416,-0.24291687387128016,-0.1097876004592423,-0.25340107490762515,0.12627168264656372,-0.22604140046000512,-0.38694638694638694
2019-14,-0.2554945054945054,0.26171875,-0.12251972682386601,-0.23214520281630935,-0.23679234171748634,0.12155568312284726,-0.2665015115888479,0.0701346702773915,-0.23524150268336314,-0.38694638694638694
2019-15,-0.27590266875981156,0.21484375,-0.06853052466429793,-0.32913973833543503,-0.2980376632554244,-0.02769804822043632,-0.1005626469600269,0.4649967064334333,-0.278175313059034,-0.38694638694638694
