season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2015-2016,belgium,2016-05,2016-09,278.0946750013378,733.5038050510001,43373.32651364256,0.812297997744307
2016-2017,belgium,2017-07,2017-05,569.0970338221113,663.8996612386001,27836.988542539944,0.644730269657852
2017-2018,belgium,2018-01,2018-10,279.84671339888325,752.6331722288,36206.97011601391,0.7850869357217868
2018-2019,belgium,2019-06,2019-07,328.6042638492691,760.71,27393.190774487583,0.6910662960829984
