season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2007-2008,germany,2007-50,2008-09,10.251012825566429,2.31,11.621187760041932,-0.1325627487383144
2008-2009,germany,2008-46,2009-06,6.8972380803204505,6.08,7.486214997030455,0.25994265869372735
2009-2010,germany,2010-01,2009-46,2.3488011274180116,40.29,138.07451955468525,-0.703235205839416
2010-2011,germany,2010-42,2011-06,2.35865671641791,7.86,6.1823997378206546,-1.5509234826399632e-16
2011-2012,germany,2011-42,2012-11,2.577611940298507,1.96,4.92043216666381,-2.904163942274939e-17
2012-2013,germany,2013-05,2013-08,8.096385567263543,11.11,15.629874477015383,0.42477789973472735
2013-2014,germany,2014-06,2014-12,5.504307543997997,0.86,6.782756706374666,0.8634002052264333
2014-2015,germany,2015-13,2015-09,2.183731343283582,15.49,23.99990760834176,0.005941827383947028
2015-2016,germany,2016-09,2016-11,4.380014690641121,11.06,9.253261358868233,0.5390443543388768
