week,Viren,Lymphopenie,Remune,Hepatitis-A-Impfstoff,Fatigue,Impfstoff,Influenzavirus,Toxoidimpfstoff,Rachitischer_Rosenkranz,Palmarerythem
2015-42,-0.20041479998548362,-0.609657683791478,-0.02907488986784141,-0.07466681536831539,-0.09445419716692613,-0.23616447845522737,-0.0867703419920678,-0.3781613633571441,-0.4696257357568578,-0.4295737666656942
2015-43,0.426291212556014,-0.21035820918552353,-0.02907488986784141,-0.07466681536831539,0.1912600885473596,-0.06553930783005672,-0.0867703419920678,-0.182942239851168,-0.17550808869803425,-0.312024097791522
2015-44,0.21861876696398153,-0.2961725699561015,-0.02907488986784141,-0.07466681536831539,0.08349066498846235,-0.11113035342110232,0.00517980957411609,-0.232743036663917,-0.32676859289971494,-0.3567260845464889
2015-45,0.03682852965917395,-0.46780129149725735,-0.02907488986784141,-0.07466681536831539,0.030859086041093928,-0.1545373968281457,-0.03422739823996272,-0.282543833476666,-0.34357531558879056,-0.3633486011027803
2015-46,-0.2277724785788686,-0.23662791146223108,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.059806302097051,-0.0867703419920678,0.004308756164768254,-0.04945766852996703,-0.2110307203080783
2015-47,-0.2277724785788686,-0.19985032827484053,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,0.008170765880016983,-0.0867703419920678,-0.21083068606630745,-0.16710472735349644,-0.31036846865244916
2015-48,-0.2277724785788686,-0.14205698326608396,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,0.008170765880016983,-0.0867703419920678,-0.05346016813802059,-0.23433161810979897,-0.312024097791522
2015-49,-0.2277724785788686,-0.173580625998133,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,0.007897765607016709,-0.0867703419920678,-0.10724502869578952,-0.2511383407988746,-0.28387840242728357
2015-50,-0.2277724785788686,-0.1438082967511978,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.008209250499999397,-0.0867703419920678,-0.1530617617635186,-0.1502980046644208,-0.3054015812352306
2015-51,-0.2277724785788686,-0.1683266855427915,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,0.003802761512012614,-0.0867703419920678,-0.1431016024009688,-0.15870136600895862,-0.30705721037430345
2015-52,-0.2277724785788686,-0.21911477661109272,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.0030222453129942106,-0.0867703419920678,-0.15704582550853852,-0.20071817273164771,-0.31533535606966767
2016-01,-0.2277724785788686,-0.16657537205767767,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.009028251319000216,-0.0867703419920678,-0.09529283746072975,-0.21752489542072334,-0.29381217726172065
2016-02,-0.2277724785788686,-0.1980990147897267,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.044518286809035704,-0.0867703419920678,-0.1630219211260684,-0.20071817273164771,-0.19613005805642267
2016-03,-0.2277724785788686,-0.1980990147897267,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.05052429281504171,-0.0867703419920678,-0.2128227179388174,-0.24273497945433678,-0.268977740175628
2016-04,-0.2277724785788686,-0.15256486417676698,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.03987728216803107,-0.0867703419920678,-0.1670059848710883,-0.08307111390811829,-0.09844793885112466
2016-05,-0.2277724785788686,-0.2821620620751908,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.10102934332009222,-0.0867703419920678,-0.23075100479140703,-0.24273497945433678,-0.1481168130233101
2016-06,-0.2277724785788686,-0.2383792249473449,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.05898730127805018,-0.0867703419920678,-0.1371255067834389,-0.08307111390811829,-0.15970621699682003
2016-07,-0.2277724785788686,-0.12454384841494562,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.010393252684001581,-0.0867703419920678,-0.1530617617635186,-0.20071817273164771,-0.10838171368556174
2016-08,-0.2277724785788686,-0.08776626522755507,-0.02907488986784141,-0.07466681536831539,-0.14457951045013415,-0.03905828134903025,-0.0867703419920678,-0.09529283746072975,-0.30155850886610147,-0.21268634944715115
2016-09,0.26349765544301756,-0.08951757871266891,-0.02907488986784141,-0.07466681536831539,0.1762224945623972,-0.04533728762803652,-0.0867703419920678,-0.17099004861610825,-0.02424758449635359,-0.21599760772529683
2016-10,0.31630719681766406,-0.12629516190005946,-0.02907488986784141,-0.07466681536831539,0.1837412915548784,-0.06007930237005127,-0.0867703419920678,-0.22477490917387716,-0.1839114500425721,-0.20606383289085975
2016-11,0.3389310748454521,-0.06499918992107521,-0.02907488986784141,-0.07466681536831539,0.1862475572190388,-0.018310260601009497,-0.0867703419920678,-0.15505379363602856,0.0765927516381002,-0.20937509116900543
2016-12,0.35233326345973953,0.04533355964109642,-0.02907488986784141,-0.07466681536831539,0.231360339173926,-0.019129261420010316,-0.0867703419920678,-0.1231812836758692,0.026172583570873303,-0.16798436269218425
2016-13,0.44799292164245197,0.029571738275071903,-0.02907488986784141,-0.07466681536831539,0.268954324136332,-0.022405264696013595,-0.0867703419920678,-0.08134861435316003,0.28667678525154555,-0.11831548851999882
2016-14,0.4305946676156476,0.017312543879275055,-0.02907488986784141,-0.07466681536831539,0.24389166749472801,-0.012577254868003766,-0.0867703419920678,-0.06939642311810028,0.11860955836078926,-0.16798436269218425
2016-15,0.4339759537339311,-0.12979778887028712,-0.02907488986784141,-0.07466681536831539,0.2714605898004924,-0.005752248042996941,-0.0867703419920678,-0.07736455060814011,-0.06626439121904266,-0.05374595209615776
