week,Diarrea,Powassan_virus,Febbre,Influenzavirus_A_sottotipo_H1N1,Bronchite,Polyomavirus,Influenza,Polipnea,Fago_lambda,Influenza_asiatica
2018-42,-0.1737408334011012,-0.01092896174863388,-0.3382230698843529,-0.04473724099600843,-0.2544887937397793,-0.20260761192598983,-0.06982555145481074,-0.4336991010047594,-0.4682549410142485,-0.03259104474814818
2018-43,-0.1737408334011012,-0.01092896174863388,-0.19325237145030547,-0.04473724099600843,-0.17341162564943619,-0.20260761192598983,-0.017033230337882302,-0.27240877842411426,-0.17619886624789335,-0.020016023313452553
2018-44,-0.1737408334011012,-0.01092896174863388,-0.181531745069289,-0.04473724099600843,-0.16646215409883533,-0.20260761192598983,-0.0009991989242697347,-0.34095716552088845,-0.24395587559368775,-0.020873411138545437
2018-45,-0.1737408334011012,-0.01092896174863388,-0.1639508054977644,-0.04473724099600843,-0.15270799165493784,-0.20260761192598983,0.018634308929133408,-0.3288603913273401,-0.3093764363413513,-0.022588186788731205
2018-46,-0.1737408334011012,-0.01092896174863388,0.011570378093358681,-0.04473724099600843,-0.06526047464321061,-0.20260761192598983,-0.07102537693474094,-0.2804732945531465,-0.08975026811705224,-0.0122995328876166
2018-47,-0.1737408334011012,-0.01092896174863388,-0.09871879473784509,-0.04473724099600843,-0.08871494112648845,-0.20260761192598983,-0.07102537693474094,-0.2804732945531465,-0.06872223073387466,0.011421530273286514
2018-48,-0.1737408334011012,-0.01092896174863388,-0.12638715865368713,-0.04473724099600843,-0.12129058901992988,-0.20260761192598983,-0.07102537693474094,0.005817028027498663,0.029408610387620656,-0.014871696362895252
2018-49,-0.1737408334011012,-0.01092896174863388,-0.10707694633742237,-0.04473724099600843,-0.10753642657603238,-0.20260761192598983,-0.07102537693474094,-0.0707958751983078,-0.09675961391144476,-0.01687226795477865
2018-50,-0.1737408334011012,-0.01092896174863388,-0.11889364342647991,-0.04473724099600843,-0.09754656122204368,-0.20260761192598983,-0.07102537693474094,-0.02240877842411424,-0.043021296154435416,-0.014871696362895252
2018-51,-0.1737408334011012,-0.01092896174863388,-0.0882470875613632,-0.04473724099600843,-0.1073916459187282,-0.20260761192598983,-0.07102537693474094,0.05823638286620834,0.13221234870537765,-0.025731942147405113
2018-52,-0.1737408334011012,-0.01092896174863388,-0.11063156253494374,-0.04473724099600843,-0.11448589812663322,-0.20260761192598983,-0.07102537693474094,-0.17160232681121101,0.10884786272406925,-0.02344557461382409
2019-01,-0.1737408334011012,-0.01092896174863388,-0.08767066331311649,-0.04473724099600843,-0.07829073380058718,-0.20260761192598983,-0.07102537693474094,-0.06273135906927553,0.01538991879883561,-0.018015451721569157
2019-02,-0.1737408334011012,-0.01092896174863388,-0.09314669367146022,-0.04473724099600843,-0.0991391484523897,-0.20260761192598983,-0.07102537693474094,-0.2401507139079852,-0.13180634288340737,-0.0245887583806146
2019-03,-0.1737408334011012,-0.01092896174863388,-0.1856627855150571,-0.04473724099600843,-0.14184944235712404,-0.20260761192598983,-0.07102537693474094,-0.28450555261766264,-0.15750727746284662,-0.02630353403080037
2019-04,-0.1737408334011012,-0.01092896174863388,-0.1507891184961312,-0.04473724099600843,-0.13113567371661441,-0.20260761192598983,-0.07102537693474094,-0.26837652035959814,-0.038348398958173734,-0.022302390847033577
2019-05,-0.1737408334011012,-0.01092896174863388,-0.17903390666021995,-0.04473724099600843,-0.16877864461570227,-0.20260761192598983,-0.07102537693474094,-0.3086991010047594,-0.1341427914815382,-0.02315977867212646
2019-06,-0.1737408334011012,-0.01092896174863388,-0.17788105816372654,-0.04473724099600843,-0.1593679018909303,-0.20260761192598983,-0.07102537693474094,-0.2764410364886304,0.029408610387620656,-0.020873411138545437
2019-07,-0.1737408334011012,-0.01092896174863388,-0.185566714807016,-0.04473724099600843,-0.14648242339085793,-0.20260761192598983,-0.07102537693474094,-0.22805393971443683,0.04109085337827486,-0.02601773808910274
2019-08,-0.1737408334011012,-0.01092896174863388,-0.18009068444867224,-0.04473724099600843,-0.16559347015501025,-0.20260761192598983,-0.02183253225760307,-0.24821523003701745,0.052773096368929066,-0.020873411138545437
2019-09,-0.1737408334011012,-0.01092896174863388,-0.09871879473784509,-0.04473724099600843,-0.15531404348641317,-0.20260761192598983,0.02790568763768489,-0.2119249074563723,-0.1341427914815382,-0.018587043604964413
2019-10,-0.1737408334011012,-0.01092896174863388,-0.14809913867097987,-0.04473724099600843,-0.17297728367752363,-0.20260761192598983,0.001836752210110719,-0.3086991010047594,-0.17619886624789335,-0.02173079896363832
2019-11,-0.1737408334011012,-0.01092896174863388,-0.1257146636973993,-0.04473724099600843,-0.15719619203136756,-0.20260761192598983,0.0198341344090636,-0.2522474881015336,-0.08274092232265971,-0.018301247663266785
2019-12,-0.1737408334011012,-0.01092896174863388,-0.11898971413452104,-0.04473724099600843,-0.16602781212692277,-0.20260761192598983,0.030632563728435327,-0.22805393971443683,-0.08975026811705224,-0.018015451721569157
2019-13,-0.1737408334011012,-0.01092896174863388,-0.10438696651227106,-0.04473724099600843,-0.1676203993572688,-0.20260761192598983,0.05212034732354876,-0.20386039132734005,-0.0990960625095756,-0.01915863548835967
2019-14,-0.1737408334011012,-0.01092896174863388,-0.08507675419600629,-0.04473724099600843,-0.15820965663249684,-0.20260761192598983,0.04590306983663777,-0.24418297197250133,0.0948291711352842,-0.01687226795477865
2019-15,-0.1737408334011012,-0.01092896174863388,-0.07931251171353919,-0.04473724099600843,-0.151260185081896,-0.20260761192598983,0.05822854976682974,-0.2401507139079852,0.08314692814463,-0.018015451721569157
