season,country,predicted_influenza_peak,real_influenza_peak,predicted_influenza_peak_value,real_influenza_peak_value,mse,pcc
2011-2012,belgium,2012-08,2012-07,437.32026346747574,530.5706220533999,22483.219590221874,0.4348572962468174
2012-2013,belgium,2013-05,2013-06,554.3038159108178,1018.0787068558,27981.330109413415,0.9294896099556553
2013-2014,belgium,2014-08,2014-09,62.66142541851548,310.6314229084,37891.2171252278,-0.027719889569490466
2014-2015,belgium,2015-06,2015-06,222.15885202560662,979.3634137810001,83131.10952900675,0.8708396815279296
2015-2016,belgium,2016-06,2016-09,355.2196996586683,733.5038050510001,32860.21066897881,0.7847018363322571
2016-2017,belgium,2017-02,2017-05,585.8924754377274,663.8996612386001,43565.07799255871,0.7470478285100559
2017-2018,belgium,2018-09,2018-10,595.1842401452509,752.6331722288,11315.166917095794,0.9093794220274807
2018-2019,belgium,2019-08,2019-07,367.98775411302086,760.71,21478.736804664364,0.7962442694410939
