week,Influenza_A_virus_subtype_H3N2,Influenza_A_virus,Influenza_research,Pandemic,Avian_influenza,Common_cold,Tamiflu,Influenza_vaccine,Human_influenza,Influenza_A_virus_subtype_H1N1
2012-42,-0.09963851937536149,-0.24924044829342842,0.09180848649875198,0.12360693763508881,0.08092305494819423,0.2754247510606507,-0.02232458755714569,0.1119342068239247,-0.0510026056417809,-0.04805393061192821
2012-43,-0.09926257952573743,-0.25195568008150787,0.11171999092353074,0.3862459802836206,0.0417143704745476,0.2032568792330596,-0.030722520373683157,0.09929431692497138,-0.05051168762508969,-0.04821454428464894
2012-44,-0.09963851937536149,-0.24877687213448804,0.0792716133424098,0.3417259739575096,0.05299847274565173,0.29793999280175376,-0.024908566885311064,0.14188603761600033,-0.05002076960839848,-0.048355884316643186
2012-45,-0.09625506072874494,-0.2443397860417728,0.08074653959609712,0.18765881174547946,0.0734241262237263,0.2731278561223266,-0.028784535877559126,0.10621184979230686,-0.051493523658472116,-0.04831733703519021
2012-46,-0.09587912087912089,-0.24493581253183902,0.08959609711822102,0.20845590173440876,0.12720215793348205,0.33505894927417684,-0.017027429934406674,0.1562281476446121,-0.04805709754163363,-0.0482273933784666
2012-47,-0.09587912087912089,-0.24791594498217015,0.08738370773769004,0.17859138594549,0.10899047388834562,0.3616859165221564,-0.024004174120453185,0.06934248613289576,-0.043638835391412716,-0.048246667019193085
2012-48,-0.09794679005205321,-0.24685634233316353,0.08074653959609712,0.16643998102166693,0.04399975827629021,0.32482217059843604,-0.03201451003776585,-0.010625642511485105,-0.051493523658472116,-0.0483366106759167
2012-49,-0.09888663967611336,-0.24414111054508406,0.07779668708872249,0.22522009594601716,0.08785063672222651,0.4719368735617141,-0.016898230967998404,0.0004568970560785468,-0.04903893357501605,-0.048028232424292897
2012-50,-0.096631000578369,-0.24831329597554763,0.054197867029725434,0.19361589962570508,0.06078307494533749,0.467258013502165,-0.013797455774199954,-0.038114686732991024,-0.05051168762508969,-0.048285214300646064
2012-51,-0.096631000578369,-0.2504987264391238,0.03502382573179033,0.1109283567926617,-0.0007795589641040196,0.4534482871445866,-0.004882727092029412,-0.0669075591389162,-0.05247535969185454,-0.04812460062792533
2012-52,-0.09531521110468479,-0.25400866021395824,-0.0018493306103925585,0.012372818809636766,-0.10483612231219715,0.28177665805058405,-0.0272341482806599,-0.09519338725090055,-0.05198444167516333,-0.04825951611301075
2013-1,-0.10640543666859456,-0.26453846153846156,-0.11763104152484684,-0.18415836364594868,-0.2763116258116972,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-2,-0.10640543666859456,-0.26453846153846156,-0.11763104152484684,-0.18415836364594868,-0.2763116258116972,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-3,-0.10640543666859456,-0.26453846153846156,-0.11763104152484684,-0.18415836364594868,-0.2763116258116972,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-4,-0.10640543666859456,-0.24592919001528274,-0.11763104152484684,-0.18415836364594868,-0.2763116258116972,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-5,-0.10640543666859456,-0.24453846153846154,-0.11763104152484684,-0.18415836364594868,0.10577664729214509,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-6,-0.10640543666859456,-0.24453846153846154,-0.11763104152484684,-0.18415836364594868,0.10727643303703867,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-7,-0.10640543666859456,-0.2444060112073357,-0.11763104152484684,-0.18415836364594868,0.09634942260995683,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-8,-0.10640543666859456,-0.2448033622007132,-0.11763104152484684,-0.18415836364594868,0.06221144232142662,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-9,-0.10640543666859456,-0.24169077941925624,-0.11763104152484684,-0.18415836364594868,0.11870337204575171,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-10,-0.10640543666859456,-0.2457967396841569,-0.11763104152484684,-0.18415836364594868,0.10441969828486042,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-11,-0.10640543666859456,-0.24592919001528274,-0.11763104152484684,-0.18415836364594868,0.06513959544240934,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-12,-0.10640543666859456,-0.24890932246561387,-0.11763104152484684,-0.18415836364594868,0.08106589168580314,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-13,-0.10640543666859456,-0.2453331635252165,-0.11763104152484684,-0.18415836364594868,0.06392548317273357,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-14,-0.10640543666859456,-0.24811462047885888,-0.11763104152484684,-0.18415836364594868,0.038143452034324773,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
2013-15,-0.10640543666859456,-0.2476510443199185,0.043873383253914225,-0.18415836364594868,0.023217012954193365,-0.305462814514282,-0.07051580202742992,-0.15118556428179403,-0.05689362184207545,-0.048722083490446454
