Week,1960-1969,Afweer,Aids,Amantadine,Antigene drift,Antigene shift,Astma,Aviaire influenza,Azerbeidzjan,Aziatische griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes mellitus,Ebola,Echinacea (plant),Eerste Wereldoorlog,Eiwitmantel,Endemie (geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong Kong griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus A,Keel (anatomie),Keelpijn,Koorts,Koude rilling,Koude rillingen,La Gloria (Veracruz),Lijst van longziekten,Marburgvirus,Mexicaanse griep,Morbiditeitsgraad,Mortaliteit,Mutatie (biologie),Neuraminidase,Opportunistische infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie (genetica),SARS,Spaanse griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus (biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2019-01,,107.0,,,0.0,0.0,,0.0,580.0,0.0,176.0,74.0,174.0,,9.0,18.0,,,0.0,0.0,17.0,0.0,,,375.0,76.0,,,,,,,34.0,,30.0,6.0,0.0,,16.0,44.0,104.0,465.0,96.0,188.0,59.0,,,0.0,12.0,274.0,0.0,0.0,0.0,0.0,,0.0,31.0,52.0,0.0,,0.0,,,,,,168.0,,22.0,0.0,,0.0,47.0,118.0,66.0,,39.0,257.0,63.0,33.0,0.0,4.0,4.0,48.0,184.0,147.0
2019-02,,188.0,,,0.0,0.0,,0.0,668.0,0.0,362.0,148.0,195.0,,3.0,11.0,,,0.0,0.0,38.0,0.0,,,478.0,59.0,,,,,,,46.0,,51.0,5.0,0.0,,31.0,69.0,111.0,739.0,133.0,330.0,177.0,,,0.0,11.0,457.0,0.0,0.0,0.0,0.0,,0.0,36.0,68.0,0.0,,0.0,,,,,,277.0,,29.0,0.0,,0.0,84.0,161.0,115.0,,46.0,309.0,36.0,48.0,0.0,1.0,13.0,99.0,359.0,258.0
2019-03,,190.0,,,0.0,0.0,,0.0,609.0,0.0,359.0,158.0,213.0,,7.0,12.0,,,0.0,0.0,29.0,0.0,,,421.0,50.0,,,,,,,31.0,,53.0,11.0,0.0,,20.0,96.0,83.0,836.0,123.0,326.0,170.0,,,0.0,13.0,452.0,0.0,0.0,0.0,0.0,,0.0,27.0,65.0,0.0,,0.0,,,,,,296.0,,46.0,0.0,,0.0,94.0,177.0,97.0,,37.0,340.0,34.0,68.0,0.0,2.0,6.0,83.0,367.0,269.0
2019-04,,178.0,,,0.0,0.0,,0.0,636.0,0.0,304.0,134.0,234.0,,4.0,16.0,,,0.0,0.0,34.0,0.0,,,484.0,56.0,,,,,,,28.0,,48.0,6.0,0.0,,18.0,57.0,96.0,724.0,140.0,274.0,147.0,,,0.0,17.0,464.0,0.0,0.0,0.0,0.0,,0.0,32.0,103.0,0.0,,0.0,,,,,,316.0,,46.0,0.0,,0.0,80.0,179.0,101.0,,35.0,338.0,53.0,56.0,0.0,2.0,24.0,90.0,303.0,253.0
2019-05,,151.0,,,0.0,0.0,,0.0,644.0,0.0,293.0,126.0,208.0,,3.0,15.0,,,0.0,0.0,39.0,0.0,,,507.0,51.0,,,,,,,39.0,,57.0,4.0,0.0,,24.0,81.0,75.0,622.0,150.0,274.0,155.0,,,0.0,19.0,450.0,0.0,0.0,0.0,0.0,,0.0,24.0,68.0,0.0,,0.0,,,,,,231.0,,47.0,0.0,,0.0,87.0,149.0,85.0,,131.0,334.0,47.0,37.0,0.0,2.0,20.0,160.0,255.0,246.0
2019-06,,193.0,,,0.0,0.0,,0.0,1961.0,0.0,288.0,102.0,212.0,,4.0,7.0,,,0.0,0.0,13.0,0.0,,,749.0,41.0,,,,,,,34.0,,47.0,5.0,0.0,,15.0,72.0,58.0,693.0,130.0,428.0,150.0,,,0.0,14.0,449.0,0.0,0.0,0.0,0.0,,0.0,36.0,84.0,0.0,,0.0,,,,,,279.0,,40.0,0.0,,0.0,68.0,117.0,74.0,,85.0,383.0,49.0,43.0,0.0,1.0,13.0,110.0,281.0,250.0
2019-07,,152.0,,,0.0,0.0,,0.0,1257.0,0.0,244.0,92.0,194.0,,2.0,17.0,,,0.0,0.0,15.0,0.0,,,545.0,47.0,,,,,,,33.0,,46.0,4.0,0.0,,19.0,195.0,70.0,561.0,137.0,286.0,170.0,,,0.0,17.0,484.0,0.0,0.0,0.0,0.0,,0.0,21.0,60.0,0.0,34.0,0.0,,,,,,228.0,,37.0,0.0,,0.0,77.0,153.0,85.0,,39.0,326.0,43.0,56.0,0.0,3.0,9.0,65.0,281.0,228.0
2019-08,,211.0,,,0.0,0.0,,0.0,1172.0,0.0,292.0,93.0,261.0,,3.0,10.0,,,0.0,0.0,28.0,0.0,,,527.0,107.0,,,,,,,42.0,,40.0,10.0,0.0,,35.0,65.0,81.0,649.0,160.0,253.0,118.0,,,0.0,9.0,445.0,0.0,0.0,0.0,0.0,,0.0,15.0,61.0,0.0,32.0,0.0,,,,,,197.0,,48.0,0.0,,0.0,59.0,165.0,92.0,,37.0,317.0,61.0,62.0,0.0,2.0,11.0,91.0,262.0,202.0
2019-09,,89.0,614.0,,0.0,0.0,,0.0,571.0,0.0,248.0,54.0,168.0,,2.0,12.0,,,0.0,0.0,9.0,0.0,,,363.0,15.0,,,,,,,23.0,,28.0,6.0,0.0,772.0,17.0,61.0,51.0,399.0,97.0,245.0,115.0,,,0.0,12.0,298.0,0.0,0.0,0.0,0.0,,0.0,19.0,55.0,0.0,23.0,0.0,,,,,,175.0,,30.0,0.0,,0.0,68.0,95.0,56.0,,42.0,214.0,29.0,55.0,0.0,1.0,5.0,56.0,227.0,154.0
2019-10,,117.0,578.0,,0.0,0.0,,0.0,432.0,0.0,174.0,59.0,165.0,,3.0,10.0,,,0.0,0.0,20.0,0.0,,,297.0,18.0,,,,,,,20.0,,41.0,3.0,0.0,777.0,24.0,62.0,61.0,380.0,77.0,198.0,88.0,,,0.0,12.0,274.0,0.0,0.0,0.0,0.0,,0.0,31.0,48.0,0.0,26.0,0.0,,,,,,158.0,,16.0,0.0,,0.0,65.0,115.0,70.0,,21.0,164.0,35.0,45.0,0.0,1.0,5.0,81.0,179.0,139.0
