Week,1960-1969,Afweer,Aids,Amantadine,Antigene drift,Antigene shift,Astma,Aviaire influenza,Azerbeidzjan,Aziatische griep,Bloedtransfusie,Borstvoeding,Buikgriep,COPD,Cytostaticum,Darminfectie,Diabetes mellitus,Ebola,Echinacea (plant),Eerste Wereldoorlog,Eiwitmantel,Endemie (geneeskunde),Epidemie,Genetica,Griep,Griepprik,H1N1,H2N2,H3N2,H5N1,H5N2,H7N9,Hemagglutinine,Hiv,Hoest,Hoesten,Hong Kong griep,Hongkong,Hongkonggriep,Hoofdpijn,Immuundeficiëntie,Immuunsysteem,Incubatieperiode,Infectie,Infectieziekte,Influenza,Influenzavirus A,Keel (anatomie),Keelpijn,Koorts,Koude rilling,Koude rillingen,La Gloria (Veracruz),Lijst van longziekten,Marburgvirus,Mexicaanse griep,Morbiditeitsgraad,Mortaliteit,Mutatie (biologie),Neuraminidase,Opportunistische infectie,Orthomyxovirus,Oseltamivir,Palmitoylethanolamide,Pandemie,Pandemrix,Pathogeen,Pokken,Pulmonologie,Recombinatie (genetica),SARS,Spaanse griep,Spierpijn,Steenpuist,Symptoom,Vaccin,Varkensgriep,Verkoudheid,Virologie,Virulentie,Virus (biologie),Virusinfectie,Vogelgriep,Vogelpest,Wereldgezondheidsorganisatie,Ziekte
2018-01,,141.0,,,0.0,0.0,,0.0,630.0,0.0,302.0,135.0,276.0,,0.0,13.0,,,0.0,0.0,16.0,0.0,,,585.0,37.0,,,,,,,27.0,,55.0,3.0,0.0,,32.0,93.0,85.0,580.0,63.0,224.0,115.0,,,0.0,26.0,515.0,0.0,0.0,0.0,0.0,,0.0,34.0,63.0,0.0,,0.0,,,,,,213.0,,26.0,0.0,,0.0,149.0,149.0,77.0,,29.0,377.0,41.0,58.0,0.0,1.0,4.0,58.0,186.0,159.0
2018-02,,203.0,,,0.0,0.0,,0.0,640.0,0.0,354.0,277.0,292.0,,5.0,8.0,,,0.0,0.0,38.0,0.0,,,881.0,51.0,,,,,,,32.0,,49.0,7.0,0.0,,57.0,117.0,130.0,845.0,125.0,296.0,176.0,,,0.0,41.0,579.0,0.0,0.0,0.0,0.0,,0.0,36.0,61.0,0.0,,0.0,,,,,,270.0,,36.0,0.0,,0.0,235.0,215.0,101.0,,23.0,368.0,64.0,51.0,0.0,1.0,11.0,103.0,376.0,261.0
2018-03,,211.0,,,0.0,0.0,,0.0,630.0,0.0,374.0,258.0,352.0,,1.0,14.0,,,0.0,0.0,44.0,0.0,,,879.0,50.0,,,,,,,49.0,,62.0,5.0,0.0,,43.0,93.0,119.0,843.0,125.0,303.0,185.0,,,0.0,18.0,661.0,0.0,0.0,0.0,0.0,,0.0,33.0,127.0,0.0,,0.0,,,,,,251.0,,41.0,0.0,,0.0,154.0,227.0,88.0,,32.0,348.0,64.0,67.0,0.0,3.0,13.0,90.0,235.0,222.0
2018-04,,195.0,,,0.0,0.0,,0.0,615.0,0.0,356.0,489.0,310.0,,3.0,11.0,,,0.0,0.0,24.0,0.0,,,949.0,56.0,,,,,,,31.0,,80.0,4.0,0.0,,40.0,79.0,112.0,786.0,132.0,287.0,215.0,,,0.0,25.0,764.0,0.0,0.0,0.0,0.0,,0.0,50.0,72.0,0.0,,0.0,,,,,,301.0,,32.0,0.0,,0.0,158.0,145.0,96.0,,39.0,397.0,72.0,60.0,0.0,4.0,4.0,108.0,263.0,264.0
2018-05,,148.0,,,0.0,0.0,,0.0,527.0,0.0,287.0,413.0,317.0,,4.0,11.0,,,0.0,0.0,24.0,0.0,,,961.0,48.0,,,,,,,35.0,,38.0,7.0,0.0,,43.0,87.0,87.0,558.0,106.0,256.0,182.0,,,0.0,19.0,595.0,0.0,0.0,0.0,0.0,,0.0,26.0,45.0,0.0,,0.0,,,,,,223.0,,33.0,0.0,,0.0,136.0,128.0,94.0,,35.0,369.0,72.0,53.0,0.0,3.0,15.0,127.0,206.0,206.0
2018-06,,132.0,,,0.0,0.0,,0.0,571.0,0.0,206.0,255.0,277.0,,3.0,9.0,,,0.0,0.0,23.0,0.0,,,933.0,49.0,,,,,,,29.0,,50.0,4.0,0.0,,37.0,68.0,79.0,498.0,88.0,267.0,125.0,,,0.0,12.0,518.0,0.0,0.0,0.0,0.0,,0.0,11.0,68.0,0.0,,0.0,,,,,,206.0,,34.0,0.0,,0.0,91.0,91.0,63.0,,27.0,363.0,83.0,48.0,0.0,8.0,15.0,96.0,189.0,188.0
2018-07,,145.0,,,0.0,0.0,,0.0,594.0,0.0,302.0,296.0,255.0,,2.0,6.0,,,0.0,0.0,23.0,0.0,,,1173.0,50.0,,,,,,,36.0,,40.0,12.0,0.0,,40.0,71.0,95.0,526.0,121.0,196.0,208.0,,,0.0,20.0,758.0,0.0,0.0,0.0,0.0,,0.0,29.0,45.0,0.0,25.0,0.0,,,,,,237.0,,39.0,0.0,,0.0,118.0,177.0,102.0,,39.0,430.0,56.0,48.0,0.0,0.0,12.0,107.0,252.0,209.0
2018-08,,144.0,,,0.0,0.0,,0.0,663.0,0.0,349.0,260.0,292.0,,2.0,7.0,,,0.0,0.0,17.0,0.0,,,1160.0,45.0,,,,,,,32.0,,71.0,14.0,0.0,,48.0,90.0,77.0,596.0,122.0,237.0,193.0,,,0.0,28.0,728.0,0.0,0.0,0.0,0.0,,0.0,28.0,66.0,0.0,31.0,0.0,,,,,,223.0,,45.0,0.0,,0.0,120.0,142.0,67.0,,32.0,461.0,71.0,99.0,0.0,8.0,9.0,126.0,335.0,245.0
2018-09,,136.0,781.0,,0.0,0.0,,0.0,653.0,0.0,294.0,131.0,255.0,,1.0,8.0,,,0.0,0.0,20.0,0.0,,,974.0,63.0,,,,,,,30.0,,41.0,7.0,0.0,1110.0,60.0,76.0,86.0,539.0,135.0,245.0,205.0,,,0.0,19.0,687.0,0.0,0.0,0.0,0.0,,0.0,24.0,63.0,0.0,32.0,0.0,,,,,,239.0,,35.0,0.0,,0.0,110.0,126.0,69.0,,27.0,407.0,40.0,57.0,0.0,3.0,18.0,161.0,234.0,207.0
2018-10,,109.0,893.0,,0.0,0.0,,0.0,556.0,0.0,240.0,99.0,228.0,,4.0,7.0,,,0.0,0.0,18.0,0.0,,,754.0,24.0,,,,,,,25.0,,43.0,3.0,0.0,861.0,34.0,61.0,69.0,455.0,85.0,210.0,114.0,,,0.0,21.0,517.0,0.0,0.0,0.0,0.0,,0.0,15.0,33.0,0.0,17.0,0.0,,,,,,177.0,,20.0,0.0,,0.0,77.0,139.0,50.0,,22.0,261.0,25.0,104.0,0.0,4.0,14.0,90.0,208.0,194.0
2018-11,,166.0,1210.0,,0.0,0.0,,0.0,601.0,0.0,368.0,161.0,222.0,,3.0,5.0,,,0.0,0.0,38.0,0.0,,,922.0,30.0,,,,,,,44.0,,51.0,3.0,0.0,1161.0,41.0,64.0,79.0,643.0,132.0,275.0,206.0,,,0.0,18.0,611.0,0.0,0.0,0.0,0.0,,0.0,17.0,66.0,0.0,33.0,0.0,,,,,,267.0,,31.0,0.0,311.0,0.0,121.0,151.0,62.0,,32.0,299.0,50.0,62.0,0.0,6.0,13.0,145.0,317.0,232.0
2018-12,,169.0,935.0,,0.0,0.0,,0.0,627.0,0.0,369.0,368.0,227.0,,3.0,7.0,,,0.0,0.0,26.0,0.0,,,684.0,34.0,,,,,,,38.0,,79.0,6.0,0.0,1437.0,38.0,116.0,86.0,585.0,101.0,252.0,155.0,,,0.0,14.0,513.0,0.0,0.0,0.0,0.0,,0.0,25.0,68.0,0.0,20.0,0.0,,,,,,229.0,,32.0,0.0,430.0,0.0,155.0,176.0,143.0,,37.0,335.0,27.0,89.0,0.0,1.0,6.0,105.0,298.0,304.0
