,week,incidence
0,2013-42,754.640103346
1,2013-43,786.5368633503999
2,2013-44,666.1851540365
3,2013-45,816.0830719933999
4,2013-46,887.0518975406
5,2013-47,833.2171601473
6,2013-48,817.8689756182999
7,2013-49,998.8634791484
8,2013-50,832.6598825877
9,2013-51,612.3514062565
10,2013-52,0.02
11,2014-01,147.1970345843
12,2014-02,683.3247645676
13,2014-03,755.8536517533
14,2014-04,917.3039720666001
15,2014-05,1013.3701789160001
16,2014-06,1015.3057531749
17,2014-07,1088.3464634335
18,2014-08,832.0823970462
19,2014-09,1006.2705290578
20,2014-10,1037.8149090155998
21,2014-11,1138.1713583489
22,2014-12,956.4088358028
23,2014-13,874.4147067330999
24,2014-14,434.94628788629996
25,2014-15,0.48
