week,Neuraminidase-Hemmer,Lungenentzündung,Influenza-A-Virus_H1N1,Schweinegrippe-Impfung,Influenza-Schnelltest,Peramivir,Impfung,Reye-Syndrom,Schweineinfluenza,Rifttalfieber
2018-42,-0.14354976119788304,-0.16083946847464645,-0.053287826260266166,-0.016856899915819984,-0.07450086702327774,-0.020728352954120365,-0.28923164955758884,-0.09923536427460485,-0.020038271950413734,-0.12963836797787087
2018-43,-0.09394346198528462,-0.15990669958607645,-0.053287826260266166,-0.016856899915819984,-0.06131173486817354,-0.020728352954120365,-0.006609718961634016,-0.023989998952903647,-0.020038271950413734,-0.05519668063295773
2018-44,-0.09551826513489092,-0.15933268796234107,-0.053287826260266166,-0.016856899915819984,-0.06500469187160271,-0.020728352954120365,-0.09684850675842763,-0.03271409928005741,-0.020038271950413734,-0.08745474514908677
2018-45,-0.09473086356008778,-0.15904568215047338,-0.053287826260266166,-0.016856899915819984,-0.062103082797479794,-0.020728352954120365,-0.16997304169720867,-0.04174977461889524,-0.020038271950413734,-0.08497335557092299
2018-46,0.05330063250290435,-0.15926093650937415,-0.053287826260266166,-0.016856899915819984,-0.028866469766617223,-0.020728352954120365,-0.024332779233567994,0.0168263275777086,-0.020038271950413734,-0.04403042753122076
2018-47,-0.04827417064670195,-0.15969144522717568,-0.053287826260266166,-0.016856899915819984,-0.05629986464923395,-0.020728352954120365,0.04818294829129164,-0.004750241981412761,-0.020038271950413734,-0.0750477972582679
2018-48,-0.028589131276623207,-0.1597631966801426,-0.053287826260266166,-0.016856899915819984,-0.05181555971649852,-0.020728352954120365,0.06678539705000097,0.004908583380793191,-0.020038271950413734,-0.08249196599275922
2018-49,-0.055360784819930293,-0.159404439415308,-0.053287826260266166,-0.016856899915819984,-0.052870690288906855,-0.020728352954120365,0.07517341030847353,0.012074808649526638,-0.020038271950413734,-0.06512223894561282
2018-50,-0.012053698205757067,-0.1600502024920103,-0.053287826260266166,-0.016856899915819984,-0.047858820069967264,-0.020728352954120365,0.018892547154851135,0.008647483521001946,-0.020026959861183975,-0.07380710246918602
2018-51,0.03755260100684136,-0.15961969377420876,-0.053287826260266166,-0.016856899915819984,-0.03889021020449641,-0.020728352954120365,0.03012166167829022,0.03178192813854362,-0.020038271950413734,-0.05023390147663019
