week,Hepatitis_C_virus,Incontinenza_urinaria,Influenzavirus_A_sottotipo_H1N1,Influenza_suina,Bronchite,Epatite_virale,Vaccino,Disbasia,Febbre,Soffio_di_Flint
2015-42,-0.11610105580693815,-0.28271718768294113,-0.0521565273668639,-0.0218376416255396,-0.20332021240877202,-0.043486300488808825,-0.04784793215613383,-0.47123819163292846,-0.11452992545177172,-0.09326923076923077
2015-43,-0.11610105580693815,-0.28804443273621355,-0.0521565273668639,-0.0218376416255396,-0.23134686069730864,-0.22241606637509645,-0.06341484665427509,-0.47123819163292846,-0.16707541717125649,-0.10865384615384616
2015-44,-0.11610105580693815,-0.28880546774382393,-0.0521565273668639,-0.0218376416255396,-0.20630665853787836,-0.001680280421919196,-0.04041298791821561,-0.47123819163292846,-0.14325615730619823,-0.09634615384615385
2015-45,-0.11610105580693815,-0.28880546774382393,-0.0521565273668639,-0.0218376416255396,-0.2203199826821467,0.07189831489580656,-0.012764289033457249,-0.47123819163292846,-0.13610015648836954,-0.10557692307692308
2015-46,-0.11610105580693815,-0.28347822269055145,-0.0521565273668639,-0.0218376416255396,-0.2228469755606213,0.1688882814509905,0.012328647769516728,-0.47123819163292846,-0.12056141185537017,-0.0901923076923077
2015-47,-0.11610105580693815,-0.27738994262966865,-0.0521565273668639,-0.0218376416255396,-0.2079147449150895,0.021731090815539,0.05670597118959108,-0.47123819163292846,-0.1000134666498907,-0.07480769230769231
2015-48,-0.11610105580693815,-0.28119511766772043,-0.0521565273668639,-0.0218376416255396,-0.19688786689992752,0.1672160406483149,0.10944760687732343,-0.47123819163292846,-0.09387975166318042,-0.08403846153846153
2015-49,-0.11610105580693815,-0.26749648753073413,-0.0521565273668639,-0.0218376416255396,-0.19872567990245452,0.13042674298945203,0.042068424721189594,-0.47123819163292846,-0.10083129531478542,-0.08096153846153846
2015-50,-0.11610105580693815,-0.28728339772860323,-0.0521565273668639,-0.0218376416255396,-0.18011782325186873,0.12541002058142528,-0.024613731412639405,-0.47123819163292846,-0.07895437852885206,-0.047115384615384615
2015-51,-0.11610105580693815,-0.29945995785036883,-0.0521565273668639,-0.0218376416255396,-0.18838798176324018,0.0785872781065089,-0.04947432620817844,-0.47123819163292846,-0.06535797697497761,-0.1025
2015-52,-0.11610105580693815,-0.31468065800257583,-0.0521565273668639,-0.0218376416255396,-0.20332021240877202,-0.21907158476974528,-0.14891670539033458,-0.47123819163292846,-0.07813654986395736,-0.13634615384615384
2016-01,-0.11610105580693815,-0.32229100807867933,-0.0521565273668639,-0.0218376416255396,-0.21182009754545936,-0.4448240931309493,-0.1626248838289963,-0.47123819163292846,-0.1657464455908026,-0.13634615384615384
2016-02,-0.11610105580693815,-0.29641581781992743,-0.0521565273668639,-0.0218376416255396,-0.03699813568007915,0.09865416773861592,-0.04738324814126394,-0.47123819163292846,0.07224169589355643,-0.04403846153846154
2016-03,-0.11610105580693815,-0.28195615267533075,-0.0521565273668639,-0.0218376416255396,-0.06938958984961739,0.2023330975045022,-0.00509700278810409,-0.47123819163292846,0.09166512668480567,0.005192307692307692
2016-04,-0.11610105580693815,-0.28423925769816183,-0.0521565273668639,-0.0218376416255396,-0.07513275548251425,0.2809284152302547,0.010005227695167287,-0.47123819163292846,0.11650667238098232,-0.028653846153846155
2016-05,-0.11610105580693815,-0.26369131249268235,-0.0521565273668639,-0.0218376416255396,-0.0631869709660888,0.31270099048109085,0.06553496747211895,-0.47123819163292846,0.11027072881116019,-0.06557692307692307
2016-06,-0.11610105580693815,-0.29945995785036883,-0.0521565273668639,-0.0218376416255396,-0.09856487126473341,0.08025951890918448,0.0578676812267658,-0.47123819163292846,0.12591170202727142,0.023653846153846154
2016-07,-0.11610105580693815,-0.3093534129493034,-0.0521565273668639,-0.0218376416255396,-0.1525506282139638,0.09698192693594034,0.014419725836431226,-0.47123819163292846,0.04893357894405736,-0.07173076923076924
2016-08,-0.11610105580693815,-0.29641581781992743,-0.0521565273668639,-0.0218376416255396,-0.1422129300747495,0.16554379984563933,0.02836024628252788,-0.47123819163292846,0.04463997845336016,-0.10865384615384616
2016-09,-0.11610105580693815,-0.28500029270577215,-0.0521565273668639,-0.0218376416255396,-0.15737488734559718,0.09865416773861592,0.0011762314126394053,-0.47123819163292846,0.05700963700989256,-0.09942307692307692
2016-10,-0.11610105580693815,-0.25912510244702025,-0.0521565273668639,-0.0218376416255396,-0.08133537436604285,0.00668092359145873,-0.008814474907063196,-0.47123819163292846,0.04484443561958383,-0.1301923076923077
2016-11,-0.11610105580693815,-0.27967304765249973,-0.0521565273668639,-0.0218376416255396,-0.09557842513562705,0.06353711088242862,-0.043665776022304835,-0.47123819163292846,0.004566373873519634,-0.11788461538461538
2016-12,-0.11610105580693815,-0.30250409788081023,-0.0521565273668639,-0.0218376416255396,-0.1881582551379243,0.178921726267044,-0.02484607342007435,-0.47123819163292846,0.013664717770473222,-0.08711538461538462
2016-13,-0.11610105580693815,-0.31163651797213443,-0.0521565273668639,-0.0218376416255396,-0.18218536287971157,0.13209898379212762,-0.020663917286245354,-0.47123819163292846,0.020002889923407183,-0.11788461538461538
2016-14,-0.11610105580693815,-0.30554823791125163,-0.0521565273668639,-0.0218376416255396,-0.1706990316139179,0.25250032158476976,-0.05063603624535316,-0.47123819163292846,-0.002282941194973517,-0.0901923076923077
2016-15,-0.11610105580693815,-0.3139196229949655,-0.0521565273668639,-0.0218376416255396,-0.21159037092014346,-0.0033525212245947814,-0.0933869656133829,-0.47123819163292846,-0.09203963716716734,-0.0901923076923077
