week,Influenza,Influenza_di_Hong_Kong,Vaccino_anti_febbre_gialla,Influenza_asiatica,Apoi_virus,Enzimuria,Influenzavirus_A_sottotipo_H1N1,Polyomavirus,Febbre,Anemia_infettiva_equina
2018-42,-0.03580075662042875,-0.16898442466624283,-0.202114237651017,-0.21670341335946428,-0.25961538461538464,-0.14855769230769228,-0.0801200043737357,-0.19630004498425552,-0.2730356300141576,-0.3023785425101215
2018-43,-0.038205128205128204,-0.14419103623649077,-0.19615002293928738,-0.2124571288584027,-0.25961538461538464,-0.09855769230769229,-0.07827210103329506,-0.18460413855150698,-0.27265219443133554,-0.3352732793522268
2018-44,-0.04978982765868012,-0.14419103623649077,-0.19813809450986392,-0.22094969786052585,-0.25961538461538464,0.0014423076923077093,-0.07628205128205127,-0.026709401709401715,-0.2819824602800063,-0.36816801619433204
2018-45,-0.027494745691467006,-0.11526541640178002,-0.1683170209512158,-0.1721174260983178,-0.25961538461538464,-0.14855769230769228,-0.07983571155212946,-0.2547795771479982,-0.2784037281736668,-0.29579959514170046
2018-46,-0.03470786044556536,-0.16898442466624283,-0.14048401896314422,-0.2124571288584027,-0.25961538461538464,-0.04855769230769229,-0.07571346563883877,-0.09688484030589295,-0.28044871794871795,-0.2036943319838057
2018-47,-0.03886086591004624,-0.14832326764144946,-0.19416195136871084,-0.169994283847787,-0.25961538461538464,0.1514423076923077,-0.0801200043737357,-0.19630004498425552,-0.2704793927953437,-0.2036943319838057
2018-48,-0.028587641866330393,-0.1193976478067387,-0.15042437681602694,-0.20184141760574878,-0.25961538461538464,-0.1985576923076923,-0.07898283308731069,-0.20214799820062979,-0.26408879974830896,-0.2760627530364373
2018-49,-0.031429171920975205,-0.16071996185632548,-0.2080784523627466,-0.19122570635309485,-0.25961538461538464,0.1514423076923077,-0.07656634410365754,-0.13197255960413856,-0.26894565046405533,-0.3352732793522268
2018-50,-0.04126523749474569,-0.1359265734265734,-0.20410230922159353,-0.22094969786052585,-0.25961538461538464,-0.04855769230769229,-0.07827210103329506,-0.05010121457489879,-0.2599988201982067,-0.3550101214574899
2018-51,-0.028587641866330393,-0.16071996185632548,-0.20609038079217007,-0.229442266862649,-0.25961538461538464,0.0014423076923077093,-0.082678639768192,-0.10273279352226722,-0.27329125373603896,-0.3023785425101215
2018-52,-0.06246742328709542,-0.1937778130959949,-0.25181602691543054,-0.229442266862649,-0.25961538461538464,-0.24855769230769229,-0.08367366464381389,-0.24893162393162394,-0.3021767343086361,-0.4010627530364373
