week,Ruimteziekte,Aviair_reovirus,DTP-vaccin,Japanse_encefalitis,Orthopneu,week,Cyanovirus,Griep,Westnijlvirus,Hepatitis_B
2015-42,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.1525974025974026,-0.20915369352869354,0.3431372549019608,-0.009253903990746095,-0.012516622011552372,-0.03581603581603582,0.010610749794423285
2015-43,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,0.4837662337662338,-0.20915369352869354,0.3627450980392157,-0.009253903990746095,0.12128419292258957,-0.03581603581603582,0.06775360693728043
2015-44,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,0.08116883116883117,-0.20915369352869354,0.38235294117647056,-0.009253903990746095,0.33174567307041486,-0.03581603581603582,0.07564476339986546
2015-45,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.016233766233766232,-0.20915369352869354,0.4019607843137255,-0.009253903990746095,0.40689018174093505,-0.03581603581603582,0.09333183822979743
2015-46,-0.1418875242404654,-0.0434981684981685,-0.31642189586114816,-0.05519480519480519,-0.20915369352869354,0.4215686274509804,-0.009253903990746095,0.42707401572179354,-0.03581603581603582,0.10557673618898111
2015-47,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.11363636363636363,-0.20915369352869354,0.4411764705882353,-0.009253903990746095,0.11692524286099572,-0.03581603581603582,0.060406668161770226
2015-48,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.1266233766233766,-0.20915369352869354,0.46078431372549017,-0.009253903990746095,0.04831915928286628,-0.03581603581603582,0.037549525304627365
2015-49,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.09415584415584416,-0.20915369352869354,0.4803921568627451,-0.009253903990746095,-0.045019227905610935,-0.03581603581603582,-0.018504896464080114
2015-50,-0.2007110536522301,-0.0434981684981685,-0.29773030707610143,-0.1331168831168831,-0.20915369352869354,0.5,-0.009253903990746095,-0.051273373646158645,-0.03581603581603582,-0.010885848845032497
2015-51,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.1266233766233766,-0.20915369352869354,0.5196078431372549,-0.009253903990746095,-0.10509693092844805,-0.03581603581603582,-0.05768856993346787
2015-52,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.21753246753246752,-0.20915369352869354,0.5392156862745098,-0.009253903990746095,-0.12433316706982964,-0.03581603581603582,-0.1632668012259849
2016-01,-0.17129928894634777,-0.0434981684981685,-0.31642189586114816,-0.1590909090909091,-0.20915369352869354,-0.46078431372549017,-0.009253903990746095,-0.06946725216411562,-0.03581603581603582,-0.45687224340285565
2016-02,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.17857142857142858,-0.20915369352869354,-0.4411764705882353,-0.009253903990746095,-0.013464219851029297,-0.03581603581603582,0.17224340285564776
2016-03,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.22402597402597402,-0.20915369352869354,-0.4215686274509804,-0.009253903990746095,-0.11144583645294344,-0.03581603581603582,0.06258353891006954
2016-04,-0.2007110536522301,-0.0434981684981685,-0.29773030707610143,-0.1590909090909091,-0.20915369352869354,-0.4019607843137255,-0.009253903990746095,-0.07771135336756488,-0.03581603581603582,0.11727741646108995
2016-05,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.16558441558441558,-0.20915369352869354,-0.38235294117647056,-0.009253903990746095,-0.0851973762994326,-0.03581603581603582,0.14503251850190627
2016-06,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.16558441558441558,-0.20915369352869354,-0.3627450980392157,-0.009253903990746095,-0.0991270645397434,-0.03581603581603582,0.11020258652911716
2016-07,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.1590909090909091,-0.20915369352869354,-0.3431372549019608,-0.009253903990746095,-0.0965685503731557,-0.03581603581603582,0.040270613740001515
2016-08,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.11363636363636363,-0.20915369352869354,-0.3235294117647059,-0.009253903990746095,-0.11002443969372805,-0.03581603581603582,-0.001362039321222973
2016-09,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.1396103896103896,-0.20915369352869354,-0.30392156862745096,-0.009253903990746095,-0.11154059623689114,-0.03581603581603582,0.0655767361889811
2016-10,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.1396103896103896,-0.20915369352869354,-0.28431372549019607,-0.009253903990746095,-0.12376460836614349,-0.03581603581603582,0.11673319877401513
2016-11,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.17857142857142858,-0.2056814713064713,-0.2647058823529412,-0.009253903990746095,-0.13343010632880814,-0.03581603581603582,0.20135904911415117
2016-12,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.19805194805194806,-0.20915369352869354,-0.24509803921568626,-0.009253903990746095,-0.1389261737977743,-0.03581603581603582,0.1276175525155117
2016-13,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.21103896103896103,-0.20915369352869354,-0.22549019607843138,-0.009253903990746095,-0.1529506218220328,-0.03581603581603582,0.08843387904612397
2016-14,-0.2007110536522301,-0.0434981684981685,-0.3257676902536715,-0.06818181818181818,-0.20915369352869354,-0.20588235294117646,-0.009253903990746095,-0.15209778376650357,-0.03581603581603582,-0.002450474695372633
2016-15,-0.2007110536522301,-0.0434981684981685,-0.31642189586114816,-0.18506493506493507,-0.20915369352869354,-0.18627450980392157,-0.009253903990746095,-0.1542772587973005,-0.03581603581603582,-0.0029946923824474628
