week,Tabaksringvlekvirus,Alexie,Cytokinestorm,Parotitis,Anorexie,Hepatitis_B,Griep,Triple_gene_block,Flavivirus,Drive_Against_Malaria
2018-42,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.0031517602283539486,-0.15564903846153846
2018-43,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.017423882017126545,-0.15564903846153846
2018-44,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.006957659372026641,-0.15564903846153846
2018-45,-0.12884615384615386,-0.2566346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.020278306374881067,-0.15564903846153846
2018-46,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.2192158616577221,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.004103235014272122,-0.15564903846153846
2018-47,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,0.010168886774500476,-0.15564903846153846
2018-48,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.0022002854424357753,-0.15564903846153846
2018-49,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.011715033301617507,-0.15564903846153846
2018-50,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.0012488106565176024,-0.15564903846153846
2018-51,-0.12884615384615386,-0.2566346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25463339530560075,-0.2018789592760181,-0.11826923076923077,-0.031696003805899146,-0.15564903846153846
2018-52,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.021229781160799238,-0.15564903846153846
2019-01,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.061191722169362514,-0.15564903846153846
2019-02,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.061191722169362514,-0.15564903846153846
2019-03,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25463339530560075,-0.2018789592760181,-0.11826923076923077,-0.061191722169362514,-0.15564903846153846
2019-04,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.061191722169362514,-0.15564903846153846
2019-05,-0.12884615384615386,-0.2566346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,0.013023311132254996,-0.15564903846153846
2019-06,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,0.006362987630827783,-0.15564903846153846
2019-07,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,0.05108230256898192,-0.15564903846153846
2019-08,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.28125,-0.22309183064997018,-0.25463339530560075,-0.2018789592760181,-0.11826923076923077,-0.0002973358705994291,-0.15564903846153846
2019-09,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.20164366515837104,-0.11826923076923077,-0.0060061845861084685,-0.15564903846153846
2019-10,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.013617982873453853,-0.15564903846153846
2019-11,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.2541298706328918,-0.2018789592760181,-0.11826923076923077,0.006362987630827783,-0.15564903846153846
2019-12,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.016472407231208373,-0.15564903846153846
2019-13,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,0.0016056137012369171,-0.15564903846153846
2019-14,-0.12884615384615386,-0.2666346153846154,-0.041573956346683615,-0.29617537313432835,-0.22309183064997018,-0.25513691997830973,-0.2018789592760181,-0.11826923076923077,-0.006957659372026641,-0.15564903846153846
