Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2012-01,,5352.0,8204.0,35750.0,8158.0,362.0,36463.0,2040.0,138.0,41026.0,1406.0,4465.0,7595.0,627.0,170.0,1972.0,6219.0,221.0,2525.0,201.0,1685.0,8583.0,451.0,2273.0,478.0,35030727.0,5759.0,13432.0,10009.0,729.0,11632.0
2012-02,,4851.0,8331.0,28060.0,9194.0,327.0,31689.0,1764.0,119.0,36789.0,1245.0,2984.0,6172.0,566.0,187.0,2161.0,4277.0,133.0,2293.0,208.0,1407.0,5075.0,482.0,1354.0,422.0,28059371.0,3771.0,13180.0,9311.0,553.0,12163.0
2012-03,,4579.0,7208.0,27748.0,8590.0,312.0,31671.0,1661.0,109.0,36541.0,1003.0,3391.0,8409.0,661.0,153.0,1761.0,4825.0,125.0,2689.0,186.0,1316.0,4574.0,380.0,1393.0,336.0,49469564.0,4227.0,13004.0,9215.0,686.0,12409.0
2012-04,,4934.0,7992.0,26761.0,8904.0,348.0,32236.0,1918.0,134.0,37253.0,1030.0,3984.0,7173.0,559.0,136.0,1871.0,5197.0,108.0,2603.0,220.0,1262.0,4646.0,428.0,1386.0,421.0,28549343.0,4059.0,13148.0,7885.0,622.0,12204.0
2012-05,,4917.0,8166.0,27004.0,9335.0,419.0,34821.0,1761.0,127.0,38959.0,979.0,4780.0,7118.0,599.0,142.0,1690.0,3955.0,142.0,2746.0,272.0,1401.0,4502.0,415.0,1751.0,457.0,28539870.0,3907.0,14062.0,11843.0,591.0,13015.0
2012-06,,4559.0,8501.0,28128.0,8828.0,338.0,34921.0,1833.0,129.0,40069.0,971.0,5193.0,6766.0,519.0,158.0,2160.0,3413.0,122.0,2943.0,197.0,1507.0,4251.0,475.0,1901.0,456.0,40977812.0,3828.0,13337.0,9131.0,654.0,13719.0
2012-07,,4957.0,9285.0,27626.0,8724.0,373.0,36606.0,1919.0,110.0,42604.0,1182.0,6044.0,7547.0,647.0,170.0,2948.0,5085.0,110.0,3547.0,271.0,1659.0,4485.0,433.0,2108.0,527.0,53855826.0,4525.0,13497.0,8433.0,710.0,11955.0
2012-08,,5007.0,8614.0,27747.0,9021.0,364.0,37373.0,2004.0,125.0,44762.0,1536.0,7265.0,7723.0,614.0,226.0,1961.0,4003.0,142.0,3101.0,214.0,1857.0,4602.0,430.0,3061.0,550.0,54140605.0,4602.0,14312.0,8843.0,793.0,12596.0
2012-09,,4734.0,8719.0,25462.0,9365.0,470.0,36547.0,1958.0,132.0,45482.0,1262.0,7622.0,7671.0,600.0,141.0,2104.0,3502.0,739.0,2791.0,253.0,1969.0,4616.0,486.0,2893.0,516.0,53927389.0,4716.0,17692.0,9319.0,767.0,12742.0
2012-10,,4323.0,8129.0,22778.0,9195.0,380.0,37086.0,1725.0,122.0,42356.0,1312.0,9499.0,8183.0,607.0,158.0,1749.0,3241.0,1623.0,2623.0,189.0,2059.0,4533.0,441.0,2839.0,512.0,52447255.0,4905.0,14361.0,9210.0,588.0,11875.0
2012-11,,4051.0,8092.0,19680.0,8098.0,347.0,30624.0,1492.0,112.0,34759.0,1084.0,6658.0,7735.0,552.0,124.0,1738.0,2583.0,300.0,2543.0,197.0,2386.0,4322.0,444.0,2657.0,438.0,51494102.0,4458.0,12505.0,9572.0,519.0,11405.0
2012-12,,3680.0,9094.0,17279.0,7635.0,334.0,25793.0,1244.0,131.0,31484.0,884.0,7937.0,6929.0,505.0,104.0,1235.0,2176.0,241.0,2236.0,189.0,1503.0,4400.0,390.0,2505.0,451.0,50256469.0,3641.0,12238.0,13605.0,489.0,11323.0
2012-13,,4087.0,8201.0,16956.0,7629.0,316.0,31515.0,1159.0,101.0,29202.0,798.0,4862.0,6918.0,464.0,120.0,984.0,2512.0,173.0,1989.0,177.0,1329.0,4300.0,417.0,2331.0,436.0,53957762.0,3635.0,12112.0,11760.0,469.0,11257.0
