Week,1918_flu_pandemic,Avian_influenza,Centers_for_Disease_Control_and_Prevention,Common_cold,Epidemic,European_Centre_for_Disease_Prevention_and_Control,Fever,Flu_season,Human_influenza,Influenza,Influenza-like_illness,Influenza_A_virus,Influenza_A_virus_subtype_H1N1,Influenza_A_virus_subtype_H2N2,Influenza_A_virus_subtype_H3N1,Influenza_A_virus_subtype_H3N2,Influenza_A_virus_subtype_H5N1,Influenza_A_virus_subtype_H5N2,Influenza_pandemic,Influenza_research,Influenza_treatment,Influenza_vaccine,Influenza_virus,Influenzavirus_B,Influenzavirus_C,Main_Page,Oseltamivir,Pandemic,Swine_influenza,Tamiflu,Vaccine
2013-22,,5839.0,6776.0,19961.0,8761.0,358.0,25703.0,1009.0,80.0,26136.0,1935.0,4288.0,11567.0,569.0,93.0,1128.0,3795.0,98.0,1955.0,160.0,1046.0,4839.0,351.0,1102.0,350.0,70702750.0,4453.0,16597.0,7629.0,769.0,12844.0
2013-23,,4807.0,6358.0,19369.0,8272.0,385.0,25796.0,1013.0,81.0,24951.0,1779.0,3453.0,9836.0,479.0,115.0,984.0,3658.0,288.0,1918.0,153.0,857.0,4305.0,309.0,983.0,282.0,71411062.0,3606.0,15545.0,7246.0,420.0,12694.0
2013-24,,4569.0,6017.0,17415.0,7991.0,373.0,25574.0,1078.0,54.0,22442.0,1648.0,3248.0,8111.0,440.0,166.0,2137.0,2471.0,402.0,1703.0,140.0,841.0,4405.0,283.0,935.0,270.0,151437169.0,3428.0,14315.0,7221.0,307.0,12357.0
2013-25,,4709.0,6193.0,16722.0,8661.0,471.0,24673.0,1020.0,78.0,20480.0,1641.0,2981.0,7068.0,449.0,105.0,1148.0,2666.0,128.0,1691.0,621.0,832.0,3622.0,329.0,822.0,301.0,69848095.0,3011.0,14533.0,7741.0,311.0,10511.0
2013-26,,4619.0,6175.0,16475.0,10338.0,324.0,24145.0,1096.0,90.0,19214.0,1633.0,2535.0,6148.0,292.0,79.0,1175.0,2592.0,150.0,1628.0,179.0,833.0,3944.0,312.0,693.0,307.0,69317818.0,2762.0,13704.0,7677.0,285.0,10798.0
2013-27,,3644.0,6379.0,15092.0,6915.0,391.0,23796.0,888.0,75.0,17438.0,1274.0,2162.0,5630.0,317.0,80.0,928.0,1995.0,84.0,1511.0,143.0,773.0,2952.0,261.0,707.0,263.0,68492723.0,2956.0,12210.0,7257.0,435.0,9260.0
2013-28,,3773.0,5851.0,15073.0,6698.0,316.0,23533.0,1026.0,49.0,17041.0,1229.0,2323.0,5546.0,273.0,73.0,933.0,1880.0,92.0,1488.0,187.0,695.0,2753.0,296.0,729.0,260.0,70260824.0,2483.0,12122.0,7131.0,302.0,9036.0
2013-29,,3802.0,6418.0,15034.0,6621.0,300.0,23934.0,954.0,82.0,17498.0,1223.0,2439.0,9360.0,302.0,144.0,1659.0,1986.0,88.0,1415.0,138.0,744.0,3044.0,278.0,715.0,256.0,69594296.0,2512.0,12279.0,6526.0,286.0,9315.0
2013-30,,3176.0,4857.0,11595.0,5141.0,236.0,18821.0,787.0,55.0,13875.0,1016.0,1692.0,5430.0,233.0,77.0,808.0,1559.0,66.0,1063.0,121.0,651.0,2468.0,178.0,560.0,178.0,70523264.0,1994.0,9748.0,4808.0,208.0,7655.0
2013-31,,4031.0,5108.0,13200.0,5543.0,276.0,19116.0,949.0,46.0,15526.0,1110.0,1971.0,4900.0,288.0,69.0,968.0,1914.0,72.0,1128.0,87.0,736.0,2594.0,198.0,658.0,202.0,88311538.0,2142.0,9750.0,5923.0,241.0,8551.0
2013-32,,5041.0,4883.0,13470.0,5636.0,379.0,18838.0,1003.0,64.0,15306.0,1122.0,2729.0,4629.0,301.0,83.0,1419.0,2346.0,100.0,1268.0,119.0,641.0,2710.0,199.0,854.0,230.0,66096395.0,2117.0,9989.0,5663.0,223.0,9286.0
2013-33,,4806.0,5087.0,14950.0,6396.0,299.0,21740.0,1152.0,67.0,16678.0,1249.0,3084.0,6022.0,344.0,81.0,1352.0,1896.0,70.0,1182.0,210.0,679.0,2938.0,277.0,986.0,247.0,67367065.0,2323.0,9623.0,5962.0,231.0,9104.0
