week,Neoplasia,Tosse_post-virale,Bronchite,Influenza_suina,Influenzavirus_A_sottotipo_H1N1,Influenza,Virus_respiratorio_sinciziale_umano,Febbre,Sequenziamento_del_DNA,Vaccino_influenza_stagionale
2018-42,-0.17000041549136471,-0.18378422030202698,-0.2544887937397793,-0.01760489404495478,-0.04473724099600843,-0.06982555145481074,-0.2526867030965392,-0.3382230698843529,-0.36319570338629775,-0.02225047183790613
2018-43,-0.17000041549136471,-0.18378422030202698,-0.17341162564943619,-0.01760489404495478,-0.04473724099600843,-0.017033230337882302,-0.2526867030965392,-0.19325237145030547,-0.36023887310835573,-0.02225047183790613
2018-44,-0.17000041549136471,-0.18378422030202698,-0.16646215409883533,-0.01760489404495478,-0.04473724099600843,-0.0009991989242697347,-0.2526867030965392,-0.181531745069289,-0.35846477494159046,-0.02225047183790613
2018-45,-0.17000041549136471,-0.18378422030202698,-0.15270799165493784,-0.01760489404495478,-0.04473724099600843,0.018634308929133408,-0.2526867030965392,-0.1639508054977644,-0.36023887310835573,-0.02225047183790613
2018-46,-0.17000041549136471,-0.18378422030202698,-0.06526047464321061,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,0.011570378093358681,-0.3478201859409991,-0.02225047183790613
2018-47,-0.13778413838632386,-0.18378422030202698,-0.08871494112648845,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.09871879473784509,-0.36083023916394413,-0.02225047183790613
2018-48,-0.13902322596728697,-0.18378422030202698,-0.12129058901992988,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.12638715865368713,-0.35728204283041365,-0.02225047183790613
2018-49,-0.14178301194306844,-0.18378422030202698,-0.10753642657603238,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.10707694633742237,-0.35787340888600205,-0.02225047183790613
2018-50,-0.14369796547728417,-0.18378422030202698,-0.09754656122204368,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.11889364342647991,-0.36023887310835573,-0.02225047183790613
2018-51,-0.14054392436210533,-0.18378422030202698,-0.1073916459187282,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.0882470875613632,-0.35609931071923684,-0.02225047183790613
2018-52,-0.13406687564343453,-0.18378422030202698,-0.11448589812663322,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.11063156253494374,-0.35609931071923684,-0.02225047183790613
2019-01,-0.12984271343560577,-0.18378422030202698,-0.07829073380058718,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.08767066331311649,-0.35018565016335274,-0.02225047183790613
2019-02,-0.13654505080536075,-0.18378422030202698,-0.0991391484523897,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.09314669367146022,-0.35846477494159046,-0.02225047183790613
2019-03,-0.14043128003656324,-0.18378422030202698,-0.14184944235712404,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.1856627855150571,-0.3543252125524716,-0.02225047183790613
2019-04,-0.13305307671355562,-0.18378422030202698,-0.13113567371661441,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.1507891184961312,-0.35669067677482524,-0.02225047183790613
2019-05,-0.13834736001403436,-0.18378422030202698,-0.16877864461570227,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.17903390666021995,-0.3596475070527673,-0.02225047183790613
2019-06,-0.13631976215427655,-0.18378422030202698,-0.1593679018909303,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.17788105816372654,-0.3543252125524716,-0.02225047183790613
2019-07,-0.13485538592222926,-0.18378422030202698,-0.14648242339085793,-0.01760489404495478,-0.04473724099600843,-0.07102537693474094,-0.2526867030965392,-0.185566714807016,-0.35728204283041365,-0.02225047183790613
2019-08,-0.12201393281042976,-0.18378422030202698,-0.16559347015501025,-0.01760489404495478,-0.04473724099600843,-0.02183253225760307,-0.2526867030965392,-0.18009068444867224,-0.35787340888600205,-0.02225047183790613
2019-09,-0.08957236705430471,-0.18378422030202698,-0.15531404348641317,-0.01760489404495478,-0.04473724099600843,0.02790568763768489,-0.2526867030965392,-0.09871879473784509,-0.23250380510125931,-0.02225047183790613
2019-10,-0.10399084072369362,-0.18378422030202698,-0.17297728367752363,-0.01760489404495478,-0.04473724099600843,0.001836752210110719,-0.2526867030965392,-0.14809913867097987,-0.2762648932148016,-0.02225047183790613
2019-11,-0.0870941918923785,-0.18378422030202698,-0.15719619203136756,-0.01760489404495478,-0.04473724099600843,0.0198341344090636,-0.2526867030965392,-0.1257146636973993,-0.27922172349274366,-0.02225047183790613
2019-12,-0.0788148339650341,-0.18378422030202698,-0.16602781212692277,-0.01760489404495478,-0.04473724099600843,0.030632563728435327,-0.2526867030965392,-0.11898971413452104,-0.2514275188800884,-0.02225047183790613
2019-13,-0.08157461994081557,-0.18378422030202698,-0.1676203993572688,-0.01760489404495478,-0.04473724099600843,0.05212034732354876,-0.2526867030965392,-0.10438696651227106,-0.26621167026979864,-0.02225047183790613
2019-14,-0.07678723610527628,-0.18378422030202698,-0.15820965663249684,-0.01760489404495478,-0.04473724099600843,0.04590306983663777,-0.2526867030965392,-0.08507675419600629,-0.2508361528245,-0.02225047183790613
