week,Bronchite,Powassan_virus,Soffio_di_Flint,Influenza_asiatica,Influenza_suina,Polipnea,Epatite_virale,Febbre,Vaccino,Influenzavirus_A_sottotipo_H1N1
2018-42,-0.17709156864372355,-0.011655011655011656,-0.1574825174825175,-0.020069869594228202,-0.01877444994304618,-0.24486212477478853,-0.047160363907936695,-0.11529739939063186,-0.11655737618365024,-0.04770929546777123
2018-43,-0.19614216202286158,-0.011655011655011656,-0.17286713286713287,-0.02324081222899326,-0.01877444994304618,-0.3496656182245702,-0.17701473283997554,-0.1678428911101166,-0.12920365779935428,-0.04770929546777123
2018-44,-0.17912154990543497,-0.011655011655011656,-0.16055944055944057,-0.01978160208197683,-0.01877444994304618,-0.2885302470455309,-0.01682055808269398,-0.14402363124505835,-0.11051736108361249,-0.04770929546777123
2018-45,-0.188646846595004,-0.011655011655011656,-0.1697902097902098,-0.019493334569725462,-0.01877444994304618,-0.26232937368308545,0.036577500169733206,-0.1368676304272297,-0.08805605493034711,-0.04770929546777123
2018-46,-0.19036452304722135,-0.011655011655011656,-0.15440559440559443,-0.020646404618730938,-0.01877444994304618,-0.23612850032064006,0.10696584968429632,-0.12132888579423029,-0.0676710039677197,-0.04770929546777123
2018-47,-0.1802146167386642,-0.011655011655011656,-0.13902097902097904,-0.018340264520719983,-0.01877444994304618,-0.27979662259138244,0.00016973317944194336,-0.10078094058875084,-0.03161966383936938,-0.04770929546777123
2018-48,-0.17271930131080662,-0.011655011655011656,-0.14825174825174828,-0.019493334569725462,-0.01877444994304618,-0.2754298103643082,0.10575225745128661,-0.09464722560204056,0.011226693276523408,-0.04770929546777123
2018-49,-0.17396852054878287,-0.011655011655011656,-0.1451748251748252,-0.015169321885954924,-0.01877444994304618,-0.25796256145601126,0.07905322832507301,-0.10159876925364554,-0.043510943567568704,-0.04770929546777123
2018-50,-0.16132017576427318,-0.011655011655011656,-0.11132867132867134,-0.014304519349200816,-0.01877444994304618,-0.27979662259138244,0.07541245162604389,-0.0797218524677122,-0.09768232899603227,-0.04770929546777123
2018-51,-0.16694166233516639,-0.011655011655011656,-0.16671328671328672,-0.016610659447211767,-0.01877444994304618,-0.3758664915870156,0.04143186910177204,-0.06612545091383773,-0.1178786294867835,-0.04770929546777123
2018-52,-0.17709156864372355,-0.011655011655011656,-0.20055944055944058,-0.023529079741244633,-0.01877444994304618,-0.3409319937704217,-0.17458754837395613,-0.0789040238028175,-0.19866383144978841,-0.04770929546777123
2019-01,-0.18286920761936376,-0.011655011655011656,-0.20055944055944058,-0.019493334569725462,-0.01877444994304618,-0.402067364949461,-0.3384224998302668,-0.1665139195296627,-0.209800109290483,-0.04770929546777123
2019-02,-0.06403722760687157,-0.011655011655011656,-0.10825174825174827,-0.013151449300195338,-0.01877444994304618,-0.27979662259138244,0.055994975897888544,0.0714742219546963,-0.11617987523989788,-0.04770929546777123
2019-03,-0.08605471667620324,-0.011655011655011656,-0.05902097902097904,-0.010557041689933015,-0.01877444994304618,-0.20119400250404618,0.13123769434449048,0.09089765274594554,-0.08182728935843318,-0.04770929546777123
2019-04,-0.08995852679487906,-0.011655011655011656,-0.09286713286713288,-0.012863181787943968,-0.01877444994304618,-0.14442544355208112,0.1882765292959468,0.11573919844212219,-0.0695585086864815,-0.04770929546777123
2019-05,-0.08183860174803334,-0.011655011655011656,-0.1297902097902098,-0.011421844226687123,-0.01877444994304618,-0.14442544355208112,0.21133478172313128,0.10950325487230007,-0.024447145908074553,-0.04770929546777123
2019-06,-0.10588607207907644,-0.011655011655011656,-0.04055944055944057,-0.01228664676344123,-0.01877444994304618,0.12631691452652152,0.04264546133478175,0.1251442280884113,-0.030675911479988483,-0.04770929546777123
2019-07,-0.14258188719462922,-0.011655011655011656,-0.13594405594405595,-0.018628532032971355,-0.01877444994304618,-0.14442544355208112,0.054781383664878835,0.048166105005197225,-0.06597224972083408,-0.04770929546777123
2019-08,-0.13555502898101274,-0.011655011655011656,-0.17286713286713287,-0.018916799545222723,-0.01877444994304618,-0.1662595046874523,0.1045386652182769,0.043872504514500026,-0.0546472214082633,-0.04770929546777123
2019-09,-0.1458610876943169,-0.011655011655011656,-0.16363636363636366,-0.02410561476574737,-0.01877444994304618,-0.1313250068708584,0.055994975897888544,0.056242163071032435,-0.07673102661777632,-0.04770929546777123
2019-10,-0.09417464172304896,-0.011655011655011656,-0.19440559440559443,-0.013151449300195338,-0.01877444994304618,-0.20119400250404618,-0.010752596917645435,0.044076961680723704,-0.08484729690845205,-0.04770929546777123
2019-11,-0.10385609081736501,-0.011655011655011656,-0.1820979020979021,-0.02439388227799874,-0.01877444994304618,-0.1662595046874523,0.03050953900468466,0.003798899934659503,-0.11315986768987901,-0.04770929546777123
2019-12,-0.16678550993041935,-0.011655011655011656,-0.15132867132867134,-0.02093467213098231,-0.01877444994304618,-0.12259138241670993,0.11424740308235456,0.012897243831613092,-0.09787107946790845,-0.04770929546777123
2019-13,-0.1627255474069965,-0.011655011655011656,-0.1820979020979021,-0.023817347253496,-0.01877444994304618,-0.12695819464378416,0.08026682055808272,0.01923541598454705,-0.09447357097413722,-0.04770929546777123
2019-14,-0.15491792716964484,-0.011655011655011656,-0.15440559440559443,-0.022087742179987786,-0.01877444994304618,-0.1924603780498977,0.16764546133478175,-0.0030504151338336476,-0.1188223818461644,-0.04770929546777123
2019-15,-0.18271305521461673,-0.011655011655011656,-0.15440559440559443,-0.019493334569725462,-0.01877444994304618,-0.15315906800622958,-0.018034150315703688,-0.09280711110602748,-0.15355246867138145,-0.04770929546777123
