week,Salkvaccin,Koorts,Hepatitis_B,Griep,Anurie,Flavivirus,Parotitis,Tabaksringvlekvirus,Cytokinestorm,Human_parvovirus_B19
2018-42,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.0016915107305211976,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-43,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.25439919557566615,-0.021672481234802834,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-44,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,0.016386510201924092,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-45,-0.04726912653741922,-0.24046955642553994,-0.22630636678975047,-0.179447963800905,-0.262802556920204,-0.01691510730521197,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-46,-0.04726912653741922,-0.24046955642553994,-0.22580284211704152,-0.179447963800905,-0.262802556920204,-0.006448884660112063,-0.2559956627120806,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-47,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,0.007823237128660534,-0.2559956627120806,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-48,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.010254783803784756,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-49,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.25439919557566615,-0.00549740987419389,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-50,-0.04726912653741922,-0.24046955642553994,-0.22630636678975047,-0.179447963800905,-0.262802556920204,0.03827043027804208,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-51,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.004545935088275717,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2018-52,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.019769531662966487,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-01,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.05973147267152976,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-02,-0.04726912653741922,-0.24046955642553994,-0.22429226809891464,-0.179447963800905,-0.262802556920204,-0.05973147267152976,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-03,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.05973147267152976,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-04,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.05973147267152976,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-05,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.0007400359446030244,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-06,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.008351834231948409,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-07,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.25439919557566615,0.004968812770906015,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-08,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,0.010677661486415054,-0.2559956627120806,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-09,-0.04726912653741922,-0.24046955642553994,-0.22630636678975047,-0.179447963800905,-0.262802556920204,0.007823237128660534,-0.24107028957775226,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-10,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.011206258589702929,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-11,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.025478380378475527,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-12,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.010254783803784756,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-13,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.013109208161539276,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-14,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,-0.0007400359446030244,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
2019-15,-0.04726912653741922,-0.24046955642553994,-0.22680989146245945,-0.179447963800905,-0.262802556920204,0.005920287556824188,-0.2634583492792448,-0.11452991452991453,-0.036954627863718774,-0.07509157509157509
