week,Virologie,Incubatieperiode,Vogelgriep,week,Mexicaanse_griep,H5N1,Virulentie,Griep,Borstvoeding,Koorts
2018-42,-0.0387573964497041,-0.12671833869552496,0.008672699849170459,0.3431372549019608,-0.12731876701582762,-0.027720949263502454,0.194154715341156,-0.22553028366981856,-0.0030525030525030902,-0.26333198105059286
2018-43,-0.16952662721893486,-0.34725065808715994,0.3223981900452489,0.3627450980392157,-0.14411540768769324,-0.027720949263502454,-0.026184267709691452,-0.24853053922821364,-0.07664557664557668,-0.30212068469128694
2018-44,-0.06952662721893486,-0.18755484059666566,0.24396681749622928,0.38235294117647056,-0.15011420792764527,-0.027720949263502454,0.002064319860930018,-0.24929721441349348,-0.12570762570762575,-0.24904140602507396
2018-45,0.12278106508875744,-0.3130301257677683,0.06749622926093517,0.4019607843137255,-0.14051612754372203,-0.027720949263502454,0.6969795740982182,-0.24648607206746742,-0.05932955932955937,-0.2844275918025493
2018-46,-0.023372781065088714,-0.19135712196548693,0.008672699849170459,0.4215686274509804,-0.13451732730377003,-0.027720949263502454,0.10375923511516731,-0.262586250958344,-0.11272061272061276,-0.27558104535818045
2018-47,-0.09260355029585794,-0.02025446036852877,-0.05015082956259425,0.4411764705882353,-0.14111600756771725,-0.027720949263502454,-0.009235115167318569,-0.23166368515205724,-0.07664557664557668,-0.26231122569162724
2018-48,0.007396449704142054,-0.06968411816320558,-0.05015082956259425,0.46078431372549017,-0.016340962576715443,-0.027720949263502454,-0.048783137766188624,-0.23038589317659086,-0.05932955932955937,-0.2640124846232366
2018-49,0.19970414201183437,0.0519888856390758,0.02828054298642536,0.4803921568627451,-0.1159210465599188,-0.027720949263502454,0.019013472403302898,-0.23243036033733708,-0.08963258963258967,-0.2388338524354176
2018-50,0.19201183431952668,-0.11911377595788238,0.22435897435897437,0.5,-0.113521526463938,-0.027720949263502454,0.22805302042590178,-0.20738563761819576,-0.0737595737595738,-0.2469998953071427
2018-51,-0.1541420118343195,-0.27500731207955537,0.16553544494720968,0.5196078431372549,-0.13511720732776522,0.24532869612656846,-0.048783137766188624,-0.26054178379759774,-0.2050727050727051,-0.26979676499070854
2018-52,-0.2387573964497041,-0.5221556010529395,0.12631975867269987,0.5392156862745098,-0.12251972682386601,0.1992294053464266,-0.22392438070404172,-0.29785330948121647,-0.25702075702075705,-0.32525780616117467
2019-01,-0.054142011834319485,0.19267329628546362,0.06749622926093517,-0.46078431372549017,-0.10092404596003877,-0.027720949263502454,0.04726205997392437,-0.18898543317147967,-0.15601065601065606,-0.18099104876069833
2019-02,-0.01568047337278102,0.33335770693185146,0.10671191553544497,-0.4411764705882353,-0.0505341239444419,-0.027720949263502454,-0.009235115167318569,-0.17825198057756197,-0.12137862137862142,-0.173505509461617
2019-03,0.04585798816568051,0.1622550453348933,0.06749622926093517,-0.4215686274509804,0.2554046882931106,-0.027720949263502454,0.007714037375054312,-0.0946843853820598,-0.07520257520257524,-0.12008597900908213
2019-04,0.2612426035502959,0.43601930389002636,0.12631975867269987,-0.4019607843137255,0.15522472428591202,-0.027720949263502454,-0.09963059539330726,-0.008050089445438283,-0.033355533355533394,-0.10341364147931009
2019-05,0.284319526627219,0.378985083357707,-0.06975867269984914,-0.38235294117647056,0.3051947302847123,-0.027720949263502454,0.09245980008691872,-0.03871709685663174,-0.15023865023865027,-0.0690482110608004
2019-06,0.45355029585798823,-0.07348639953202686,0.02828054298642536,-0.3627450980392157,0.16002376447787364,-0.027720949263502454,0.03596262494567578,0.00038333759263991824,-0.11993561993561998,-0.11634320935954147
2019-07,0.21508875739644975,0.1508482012284294,0.3812217194570136,-0.3431372549019608,0.09163744174242074,-0.027720949263502454,0.052911777488048664,-0.0039611551239458215,-0.09829059829059833,-0.05475763603528152
2019-08,0.1766272189349113,0.04438432290143321,-0.010935143288084443,-0.3235294117647059,0.013053158599049404,-0.027720949263502454,0.22805302042590178,-0.02619473549706108,-0.11849261849261854,-0.060882168189075325
2019-09,0.07662721893491128,-0.07728868090084816,-0.20701357466063347,-0.30392156862745096,0.03164943934290063,-0.027720949263502454,0.14895697522816165,-0.03565039611551239,-0.0838605838605839,-0.06836770748815664
2019-10,0.053550295857988206,-0.09630008774495462,-0.14819004524886875,-0.28431372549019607,0.04064763970282865,-0.027720949263502454,-0.11657974793568016,-0.08931765908510095,-0.0838605838605839,-0.10205263433402259
2019-11,0.06893491124260359,-0.06968411816320558,0.06749622926093517,-0.2647058823529412,-0.00014420192884501598,-0.027720949263502454,0.007714037375054312,-0.134295936621518,-0.13292263292263296,-0.1530904022823043
2019-12,-0.0002958579881656384,-0.2636004679730915,-0.08936651583710405,-0.24509803921568626,-0.09612500576807717,-0.027720949263502454,0.15460669274228594,-0.1841298236647074,-0.16611166611166614,-0.2483609024524302
2019-13,-0.09260355029585794,-0.22937993565369988,-0.14819004524886875,-0.22549019607843138,-0.07452932490424993,-0.027720949263502454,-0.06573229030856151,-0.22604140046000512,-0.12137862137862142,-0.24291687387128016
2019-14,0.1535502958579882,-0.34344837671833867,-0.14819004524886875,-0.20588235294117646,-0.12251972682386601,-0.027720949263502454,-0.0713820078226858,-0.23524150268336314,-0.06798756798756803,-0.23679234171748634
2019-15,-0.24644970414201178,-0.27500731207955537,-0.05015082956259425,-0.18627450980392157,-0.06853052466429793,-0.027720949263502454,0.08116036505867014,-0.278175313059034,0.07631257631257628,-0.2980376632554244
