week,Blozen,Orbivirus,Hepatitis_A,Griep,H1N1,Alexie,Anorexie,year,Bronchitis,Dysenterie
2015-42,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-43,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17655063744449218,-0.17902930402930403
2015-44,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-45,-0.19682274247491638,-0.004807692307692318,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.18239492466296592,-0.21085607940446652,-0.5153846153846189,-0.17655063744449218,-0.18299755799755799
2015-46,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.20279156327543427,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-47,-0.18595317725752508,-0.12980769230769232,-0.16639481000926784,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17655063744449218,-0.18299755799755799
2015-48,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-49,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-50,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-51,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.03467194570135746,-0.18239492466296592,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2015-52,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.007098416289592755,-0.19270420301348137,-0.21085607940446652,-0.5153846153846189,-0.17717136990880006,-0.18299755799755799
2016-01,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-02,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.181013431013431
2016-03,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-04,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-05,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.18239492466296592,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-06,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-07,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-08,-0.19682274247491638,-0.004807692307692318,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.181013431013431
2016-09,-0.19682274247491638,-0.004807692307692318,-0.16759962928637626,-0.13267338721884178,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-10,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-11,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-12,-0.18595317725752508,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-13,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.17902930402930403
2016-14,-0.19682274247491638,-0.004807692307692318,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
2016-15,-0.19682274247491638,-0.12980769230769232,-0.16759962928637626,-0.13306693306693307,-0.11739253393665158,-0.19270420301348137,-0.21085607940446652,-0.31538461538461887,-0.17717136990880006,-0.18299755799755799
