week,Allen_Welsh_Dulles,Neuraminidase-Hemmer,Reye-Syndrom,Influenza-Schnelltest,Rifttalfieber,Grippe,Multiple_Sklerose,Kohortenisolierung,GlaxoSmithKline,Pferdeinfluenza
2018-42,-0.023161809288976928,-0.17594537815126052,0.030272262800877994,-0.13265128205128207,0.006676242153420562,-0.050361383582860096,-0.21291627579737338,-0.2611995284409077,0.07784817223592731,-0.11738201412114456
2018-43,-0.054690973766118284,-0.12762605042016806,0.01141042175622218,-0.1323846153846154,-0.00438876476220876,-0.043649974186886945,-0.1918848578560753,-0.2880194518125552,0.018810271361291736,-0.09161711879103183
2018-44,-0.06835361170621287,-0.1486344537815126,-0.0445302521112613,-0.13211794871794874,-0.00023938716884776488,-0.04499225606608157,-0.2383400046109327,-0.26886236368994987,0.04942251625925092,-0.10933048433048434
2018-45,-0.05626743198997535,-0.15703781512605042,-0.050253289351306435,-0.12705128205128205,-0.01683689754229175,-0.07318017552916882,-0.1994809719528095,-0.276525198938992,0.05306683112805559,-0.1012789545398241
2018-46,-0.03577347507983347,-0.14653361344537816,-0.06065148377336028,-0.12785128205128207,-0.008538142355569756,-0.030227155394940634,-0.18496050895156932,-0.26886236368994987,0.005690737833594944,-0.08517589495850367
2018-47,0.031488742471401425,-0.13602941176470587,-0.06331148699760661,-0.1291846153846154,-0.03896691137355039,-0.08190500774393393,-0.21219283635958916,-0.2841880341880342,0.031200941915227598,-0.10933048433048434
2018-48,0.09034318282873195,-0.10031512605042017,-0.059281179082081865,-0.1259846153846154,-0.023752526864560076,-0.10203923593185339,-0.20046278261837377,-0.24587385794282346,0.0822213500784929,-0.12382323795367274
2018-49,-0.001091394154977979,-0.12762605042016806,-0.06073208993167077,-0.12465128205128206,-0.03896691137355039,-0.05640165203923594,-0.20687038906731964,-0.28035661656351313,0.15656537340210808,-0.11738201412114456
2018-50,-0.008448199199644296,-0.15283613445378152,-0.0635533054725381,-0.12465128205128206,-0.04035003723800406,-0.07922044398554466,-0.1957087520272204,-0.2841880341880342,0.07274613141960078,-0.09161711879103183
2018-51,-0.004244310602692114,-0.15283613445378152,-0.06274724388943315,-0.12091794871794873,-0.030668156186828402,-0.05573051109963862,-0.24851983098546762,-0.276525198938992,0.09169656873738503,-0.11577170816301252
2018-52,-0.03262055863211934,-0.1948529411764706,-0.08023878024281055,-0.13451794871794873,-0.030668156186828402,-0.14029426948890036,-0.4400762592616148,-0.28035661656351313,-0.17652500560663828,-0.12865415582806888
2019-01,-0.16399207728687498,-0.07300420168067227,-0.0492860154515805,-0.11931794871794874,-0.005771890626662426,-0.28593185338151783,-0.1567463708779852,-0.276525198938992,-0.44839089481946626,-0.11416140220488047
2019-02,-0.16399207728687498,-0.0898109243697479,-0.04114479346222051,-0.11931794871794874,0.012208745611235222,-0.049690242643262786,-0.09711429150634403,-0.276525198938992,-0.44839089481946626,-0.08839650687476776
2019-03,-0.16399207728687498,-0.01207983193277311,-0.01841385681866094,-0.11265128205128207,-0.052798170018087044,-0.04499225606608157,-0.08290387397843993,-0.26886236368994987,-0.44839089481946626,-0.09966864858169207
2019-04,-0.16399207728687498,-0.01838235294117647,-0.03227811604806607,-0.10251794871794873,0.01912437493350355,-0.0020392359318533873,-0.15436935558240852,-0.26886236368994987,-0.44839089481946626,-0.0900068128328998
2019-05,-0.16399207728687498,-0.003676470588235294,-0.049447227768201485,-0.09691794871794873,0.04817001808703052,0.03957150232318017,-0.1612420302413585,-0.272693781314471,-0.44839089481946626,-0.08517589495850367
2019-06,-0.05206354339302317,0.04884453781512605,-0.04775449844368109,-0.0899846153846154,0.030189381849132873,0.07447083118224057,-0.19989436591725762,-0.26886236368994987,-0.44839089481946626,-0.06907283537718321
2019-07,-0.03787541937830956,0.0005252100840336134,-0.03542175622217537,-0.08198461538461539,0.038488137035854866,0.18051109963861642,-0.10806923156421917,-0.276525198938992,-0.44839089481946626,-0.038477022172674354
2019-08,-0.023161809288976928,0.08665966386554622,-0.038565396396284674,-0.0675846153846154,0.0025268645600595658,0.15165203923593185,-0.1876475697204821,-0.276525198938992,-0.44839089481946626,-0.044918246005202535
2019-09,0.017300618456687813,-0.01838235294117647,-0.04348237205322486,-0.0523846153846154,-0.019603149271199077,0.13487351574599896,-0.17018167472254905,-0.2880194518125552,-0.44839089481946626,-0.007881208968165496
2019-10,-0.02789118396054813,-0.04569327731092437,-0.0508175324594799,-0.06331794871794873,-0.023752526864560076,0.12614868353123387,-0.17369552342035807,-0.28035661656351313,0.09461202063242877,-0.03686671621454231
2019-11,-0.05889486236307046,-0.003676470588235294,-0.05379996031696821,-0.0651846153846154,0.009442493882327893,0.08588022715539494,-0.18785426670270616,-0.276525198938992,0.08513680197353664,-0.06424191750278707
2019-12,0.011520271635878564,-0.003676470588235294,-0.06758361338806285,-0.08438461538461539,-0.05694754761144804,0.038900361383582854,-0.3433420715807549,-0.276525198938992,-0.018361740300515843,-0.0755140592097114
2019-13,-0.03367153078135738,-0.04569327731092437,-0.06202178846463869,-0.08891794871794872,-0.061096925204809034,-0.03425400103252453,-0.30313950853817534,-0.272693781314471,0.020996860282574536,-0.09161711879103183
2019-14,-0.05521645984073731,-0.12972689075630253,-0.06750300722975235,-0.10545128205128207,-0.06801255452707737,-0.09667010841507487,-0.23575629233313194,-0.25736811081638666,0.09679860955371156,-0.08034497708410752
2019-15,0.06406887909778082,-0.12342436974789917,-0.0714527089869666,-0.1179846153846154,-0.050031918289179717,-0.11881775942178627,-0.2535839070499571,-0.2650309460654288,0.08586566494729757,-0.08034497708410752
