week,Cyanovirus,week,Afrikaanse-paardenpestvirus,Orthopneu,Klierkoorts,Aviair_reovirus,Tracheïtis,Virale_hemorragische_koorts,Griep,Mydriase
2018-42,-0.014304993252361673,0.3431372549019608,-0.1282051282051282,-0.2981710960434365,0.20795879761954075,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.023245303923783982,-0.050222222222222224
2018-43,-0.014304993252361673,0.3627450980392157,-0.1282051282051282,-0.2981710960434365,0.13001049390387032,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.02570905830642399,-0.050222222222222224
2018-44,-0.014304993252361673,0.38235294117647056,-0.1282051282051282,-0.2981710960434365,0.09339229250376262,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-2.915685659929666e-05,-0.050222222222222224
2018-45,-0.014304993252361673,0.4019607843137255,-0.1282051282051282,-0.2981710960434365,0.06781340181986385,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.025555984809277704,-0.050222222222222224
2018-46,-0.014304993252361673,0.4215686274509804,-0.1282051282051282,-0.2981710960434365,0.0827568590088784,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.0006341616310345515,-0.050222222222222224
2018-47,-0.014304993252361673,0.4411764705882353,-0.1282051282051282,-0.2981710960434365,0.12758723057592203,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.03313676752509311,-0.050222222222222224
2018-48,-0.014304993252361673,0.46078431372549017,-0.1282051282051282,-0.2981710960434365,0.01477086008588432,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.006983067155529956,-0.050222222222222224
2018-49,-0.014304993252361673,0.4803921568627451,-0.1282051282051282,-0.2981710960434365,0.10281609433467269,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.08184329647420711,-0.050222222222222224
2018-50,-0.014304993252361673,0.5,-0.1282051282051282,-0.2981710960434365,0.0758909462463582,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.09548870536267484,-0.050222222222222224
2018-51,-0.014304993252361673,0.5196078431372549,-0.1282051282051282,-0.2981710960434365,-0.03490603813705591,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.11235594690536413,-0.050222222222222224
2018-52,-0.014304993252361673,0.5392156862745098,-0.1282051282051282,-0.2981710960434365,-0.09185272634384105,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.1395520048983519,-0.050222222222222224
2019-01,-0.014304993252361673,-0.46078431372549017,-0.1282051282051282,-0.2981710960434365,0.10806649821189401,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.7766220323786893,-0.050222222222222224
2019-02,-0.014304993252361673,-0.4411764705882353,-0.1282051282051282,-0.2981710960434365,0.19907349875039698,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.7179657261150675,-0.050222222222222224
2019-03,-0.014304993252361673,-0.4215686274509804,-0.1282051282051282,-0.2981710960434365,0.22882578738798448,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.5365007398552362,-0.050222222222222224
2019-04,-0.014304993252361673,-0.4019607843137255,-0.1282051282051282,-0.2981710960434365,0.21051668668793064,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.334662400046651,-0.050222222222222224
2019-05,-0.014304993252361673,-0.38235294117647056,-0.1282051282051282,-0.2981710960434365,0.22438313795341258,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.3009279169612724,-0.050222222222222224
2019-06,-0.014304993252361673,-0.3627450980392157,-0.1282051282051282,-0.2981710960434365,0.3093319801720448,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.20503101560620748,-0.050222222222222224
2019-07,-0.014304993252361673,-0.3431372549019608,-0.1282051282051282,-0.2981710960434365,0.27432928765723597,-0.06285612535612535,-0.2188710570005534,-0.03666681377524751,0.11102930993009642,-0.050222222222222224
2019-08,-0.014304993252361673,-0.3235294117647059,-0.1282051282051282,-0.2981710960434365,0.2719060243292877,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.0563529145922778,-0.050222222222222224
2019-09,-0.014304993252361673,-0.30392156862745096,-0.1282051282051282,-0.2981710960434365,0.19732336412465654,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.039769952401431594,-0.050222222222222224
2019-10,-0.014304993252361673,-0.28431372549019607,-0.1282051282051282,-0.2981710960434365,0.1481849688634826,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.005940709532105337,-0.050222222222222224
2019-11,-0.014304993252361673,-0.2647058823529412,-0.1282051282051282,-0.2981710960434365,0.26369385416235175,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,0.00044464206313916634,-0.050222222222222224
2019-12,-0.014304993252361673,-0.24509803921568626,-0.1282051282051282,-0.2981710960434365,0.21145906687102164,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.04437673574411943,-0.050222222222222224
2019-13,-0.014304993252361673,-0.22549019607843138,-0.1282051282051282,-0.2981710960434365,0.23192217941814064,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.06067541858312256,-0.050222222222222224
2019-14,-0.014304993252361673,-0.20588235294117646,-0.1282051282051282,-0.2981710960434365,0.18413004156138243,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.08209112975530108,-0.050222222222222224
2019-15,-0.014304993252361673,-0.18627450980392157,-0.1282051282051282,-0.2981710960434365,0.18641867914888915,-0.06285612535612535,-0.2188710570005534,-0.038387984171116704,-0.11099286385934733,-0.050222222222222224
