week,Hongkonggriep,Afweer,Griep,Antigene_drift,Infectieziekte,Aziatische_griep,Wereldgezondheidsorganisatie,Pulmonologie,Azerbeidzjan,Neuraminidase
2018-42,-0.0880015243072568,-0.1516570303335009,-0.023245303923783982,-0.13556791267634638,0.12890148046398048,-0.0580891330891331,0.101641568308235,0.03692499759915487,-0.0352843808313654,0.1011309151553054
2018-43,-0.07844738417986827,0.2503037539802246,-0.02570905830642399,-0.29219441870044277,0.1300175518925519,-0.03666056166056167,0.05402252068918738,-0.14846826082781142,-0.03540125787671369,-0.08179591411298728
2018-44,0.007539876966628544,0.20373512652924422,-2.915685659929666e-05,-0.14761610544743073,0.2583657661782662,-0.0580891330891331,0.08735585402252072,0.09872275040814364,-0.02394730743258092,0.07064311027725662
2018-45,-0.07207795742827591,0.1253037539802246,0.025555984809277704,-0.08737514159200903,0.2550175518925519,-0.08666056166056167,0.0635463302129969,-0.00801882262556423,0.019530953436984296,0.058447988326037106
2018-46,-0.008383689912352348,0.20128414613708734,0.0006341616310345515,-0.015085984965503006,0.1690800518925519,-0.015231990231990242,0.5841812508479175,-0.06419859790646311,-0.01483089789541402,0.07064311027725662
2018-47,-0.008383689912352348,-0.05116683425506951,0.03313676752509311,-0.1717124909895994,0.2739907661782662,-0.015231990231990242,0.46830823497490165,0.003217132430615545,-0.02780424992907461,0.3084479883260371
2018-48,-0.06570853067668356,-0.09528448131389304,0.006983067155529956,-0.19580887653176807,0.0987675518925519,-0.09023199023199024,0.10957807624474293,-0.0024008450974743424,-0.043348896960397655,-0.051308109234938504
2018-49,-0.04023082367031413,0.3924606167253226,0.08184329647420711,-0.2680980331582741,0.18358898046398048,-0.07237484737484738,0.08100664767331436,-0.019254777681744006,-0.01775282402912136,-0.03301542630810924
2018-50,-0.02749197016712942,-0.053617814647226376,0.09548870536267484,-0.0753269488209247,0.12555326617826618,-0.06523199023199024,0.04608601275267944,-0.18779410352444065,-0.03271308583370294,0.09503335417969565
2018-51,-0.1357722249441995,-0.3624413440589911,0.11235594690536413,-0.2680980331582741,-0.12891101953601952,-0.09023199023199024,-0.34280287613620947,-0.2495918563334294,-0.022544782888401397,-0.026917865332499482
2018-52,-0.10710980456203388,-0.4212648734707558,0.1395520048983519,-0.2680980331582741,-0.21484851953601952,-0.11166056166056167,-0.37296160629493963,-0.10914241813118221,-0.08928157578227704,-0.01472274338127997
2019-01,0.408813762316947,0.16206845986257754,0.7766220323786893,0.18973329214293072,0.20367826617826618,0.30619658119658116,-0.07296160629493961,0.2560261211946605,-0.024999200840715562,-0.26472274338128
2019-02,0.4056290489411508,0.171872381431205,0.7179657261150675,0.04515497888991868,0.354347909035409,0.18476800976800975,0.04608601275267944,-0.06419859790646311,-0.0012731606350119631,-0.26472274338128
2019-03,0.39925962218955846,0.18167630299983245,0.5365007398552362,0.18973329214293072,0.299660409035409,0.18833943833943834,-0.006294939628272939,-0.0024008450974743424,-0.0018575458617534311,-0.26472274338128
2019-04,0.1349284119984757,0.03461747947042069,0.334662400046651,0.5270826897332922,0.24832112332112333,0.13476800976800976,0.006403473070139759,0.003217132430615545,-0.006883258811730055,-0.26472274338128
2019-05,0.01709401709401708,0.171872381431205,0.3009279169612724,-0.1114715271341777,0.284035409035409,0.1061965811965812,-0.07137430470763802,0.03692499759915487,-0.011324586534965212,-0.26472274338128
2019-06,0.029832870597201792,0.00030375398022460654,0.20503101560620748,-0.015085984965503006,0.346535409035409,0.049053724053724046,0.06830823497490167,0.2054643234418515,0.0011812573173022023,-0.26472274338128
2019-07,0.0011704502150361867,0.01991159711747951,0.11102930993009642,-0.21990526207393674,0.4536782661782662,-0.0009462759462759556,0.02862569529236198,0.22231825602612115,-0.0074676440384715236,-0.03301542630810924
2019-08,-0.0593391039250912,-0.07077467739232442,0.0563529145922778,-0.09942333436309336,0.3833657661782662,-0.05094627594627595,-0.0015330348663681772,0.30658791894746945,-0.018570963346559416,-0.026917865332499482
2019-09,-0.05296967717349885,-0.011951147980559707,0.039769952401431594,-0.05123056327875602,0.307472909035409,-0.025946275946275955,-0.057088590421923734,0.09872275040814364,-0.03727129060228639,0.2535699395455493
2019-10,-0.04978496379770267,0.046872381431205,0.005940709532105337,-0.18376068376068372,0.13113362332112333,-0.033089133089133096,0.05878442545109214,0.003217132430615545,-0.03259620878835465,0.09503335417969565
2019-11,-0.03704611029451795,0.07383316574493048,0.00044464206313916634,-0.0753269488209247,0.19363362332112333,-0.004517704517704527,0.13338760005426675,0.16613848074522228,-0.017402192893076478,0.1133260371065249
2019-12,-0.1039250911862377,0.08363708731355794,-0.04437673574411943,0.033106786118834344,0.17466040903540905,-0.09023199023199024,0.10799077465744135,0.04816095265533465,-0.015298406076807195,0.1133260371065249
2019-13,-0.07844738417986827,0.07628414613708735,-0.06067541858312256,-0.0753269488209247,0.16015148046398048,-0.07237484737484738,0.07465744132410801,0.008835109958705433,0.3845379660597052,0.18649676881384197
2019-14,-0.09755566443464535,0.015009636333165783,-0.08209112975530108,0.45479353310678616,0.11104433760683761,-0.11523199023199024,0.23497490164156834,0.03692499759915487,-0.0032600704059329542,0.08283823222847612
2019-15,-0.09437095105884917,0.11304885201944029,-0.11099286385934733,-0.08737514159200903,0.06082112332112333,-0.043803418803418814,-0.07931081264414595,-0.04734466532219345,-0.025934217203501912,0.1133260371065249
