week,Coprophagia,Bird_flu,Avian_influenza,Transmission_and_infection_of_H5N1,Human_flu,Swine_Flu,Influenza_A_virus,Father_Damien,Parasitism,Levamisole
2012-42,0.05613672286617491,0.1709050178331057,0.08092305494819423,0.03506460169419013,-0.05289176436945955,-0.07402478508429161,-0.24924044829342842,-0.0026557053484888528,-0.16811726063530089,-0.053812318872559835
2012-43,-0.028166930101861623,0.1079340125961661,0.0417143704745476,-0.04279969196543167,-0.059397340577637986,-0.07692754270403036,-0.25195568008150787,-0.005029130319851968,-0.18607613427210845,-0.06050575930094002
2012-44,0.03792896030909728,0.12747673835935425,0.05299847274565173,0.08400787199452384,-0.019434515298827573,-0.070831751702579,-0.24877687213448804,-0.0035354304343995055,-0.1509722332358109,-0.05362107771746325
2012-45,-0.008018528275377603,0.2055199111783605,0.0734241262237263,0.052862154530675116,-0.03616313983414356,-0.07721781846600424,-0.2443397860417728,-0.0024449378799894254,-0.04956699206604257,-0.1157744531238507
2012-46,0.02223261327713381,0.2854790375035617,0.12720215793348205,0.12405236587661504,-0.006888046897340586,-0.07460533660823937,-0.24493581253183902,-0.0018492906864040876,-0.15590956707553744,-0.03736557953425423
2012-47,-0.047459167544784,0.19249142733623506,0.10899047388834562,0.08956960725592539,-0.01757577923934802,-0.07460533660823937,-0.24791594498217015,-0.00227540752489206,-0.17017900443650538,-0.06777292319460994
2012-48,-0.07736784334387076,0.11879108246460396,0.04399975827629021,-0.030563874390348245,-0.010140835001429805,-0.07257340627442224,-0.24685634233316353,-0.005129932152612564,-0.030360220865348092,0.13513394236285803
2012-49,0.016753161222339292,0.1806125155978266,0.08785063672222651,0.021716437066826393,0.01262868172719473,-0.07257340627442224,-0.24414111054508406,-0.002005075337034099,0.07321527693726707,0.13092663695073334
2012-50,-0.0135550579557429,0.24984230228833623,0.06078307494533749,0.039513989903311376,0.023781098084072055,-0.0719928547504745,-0.24831329597554763,-0.0033292448673891964,-0.15981602901466174,0.016181943892787272
2012-51,0.08381937126800139,0.09975927763640112,-0.0007795589641040196,-0.006092239240181392,0.0219223620245925,-0.07054147594060511,-0.2504987264391238,-0.004754216230504889,-0.20370946941398896,-0.10659487767921502
2012-52,-0.052539076220583084,-0.06705640763630293,-0.10483612231219715,-0.16849490887310686,-0.022687303402916793,-0.07489561237021324,-0.25400866021395824,-0.006921455634857696,-0.25736906466112697,-0.0911043441163923
2013-1,-0.665324464348437,-0.3135757587667155,-0.2763116258116972,-0.2608197142123727,-0.22714826994566772,-0.08360388522942949,-0.26453846153846156,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-2,0.1365020196698279,-0.3135757587667155,-0.2763116258116972,0.023941131171387017,-0.22714826994566772,-0.08360388522942949,-0.26453846153846156,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-3,0.14472119775201966,-0.3135757587667155,-0.2763116258116972,-0.000530503978779835,-0.22714826994566772,-0.08360388522942949,-0.26453846153846156,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-4,0.0898125219529329,0.4980221464574511,-0.2763116258116972,0.16187216565414564,-0.22714826994566772,-0.08360388522942949,-0.24592919001528274,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-5,0.12885361784334387,0.3200939308488165,0.10577664729214509,0.10180542483100882,-0.22714826994566772,-0.08360388522942949,-0.24453846153846154,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-6,0.06926457674745344,0.28803364217848826,0.10727643303703867,0.11515358945837256,0.11671790105804974,-0.08360388522942949,-0.24453846153846154,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-7,0.037529416930101846,0.2258290183440266,0.09634942260995683,0.05063746042611449,0.16132756648555904,-0.08360388522942949,-0.2444060112073357,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-8,0.05060019318580961,0.18623264588266503,0.06221144232142662,-0.006092239240181392,0.14041678581641406,-0.08360388522942949,-0.2448033622007132,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-9,0.06389927994380049,0.27768749324503567,0.11870337204575171,0.12405236587661504,0.17387403488704603,-0.08360388522942949,-0.24169077941925624,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-10,0.09609106076571829,0.24664904644467806,0.10441969828486042,0.046188072216993246,0.1473870460394624,-0.08360388522942949,-0.2457967396841569,-0.014050894351925278,-0.33148332867284636,-0.1700869411712785
2013-11,0.10699288724973655,0.11687512895840904,0.06513959544240934,0.08178317788996321,0.08372533600228767,-0.08360388522942949,-0.24592919001528274,-0.014050894351925278,-0.14988710491938748,-0.1700869411712785
2013-12,0.04991526167896029,0.1820175481690362,0.08106589168580314,0.011705313596303592,0.13391120960823563,-0.08360388522942949,-0.24890932246561387,-0.014050894351925278,-0.16263736263736264,-0.1700869411712785
2013-13,0.014755444327362123,0.04751761203415307,0.06392548317273357,0.046188072216993246,0.0660673434372319,-0.08360388522942949,-0.2453331635252165,-0.014050894351925278,-0.17017900443650538,-0.1700869411712785
2013-14,0.03872804706708815,0.12453894298318871,0.038143452034324773,0.01615470180542484,0.02563983414355161,-0.08360388522942949,-0.24811462047885888,-0.014050894351925278,-0.11717048617922146,-0.1700869411712785
2013-15,0.02839699683877765,0.1125323010110339,0.023217012954193365,0.05731154273979636,-0.010605519016299693,-0.08360388522942949,-0.2476510443199185,-0.014050894351925278,-0.19779552008948134,-0.1700869411712785
