,week,incidence
0,2009-42,3.84
1,2009-43,6.78
2,2009-44,19.54
3,2009-45,49.72
4,2009-46,80.58
5,2009-47,52.44
6,2009-48,35.96
7,2009-49,23.28
8,2009-50,17.06
9,2009-51,12.22
10,2009-52,4.76
11,2010-01,2.26
12,2010-02,1.34
13,2010-03,0.94
14,2010-04,0.74
15,2010-05,0.5
16,2010-06,0.32
17,2010-07,0.16
18,2010-08,0.22
19,2010-09,0.16
20,2010-10,0.14
21,2010-11,0.1
22,2010-12,0.12
23,2010-13,0.06
24,2010-14,0.0
25,2010-15,0.02
