week,Transmission_and_infection_of_H5N1,Influenza_A_virus,Wan_Chai,Swine_Flu,Rapid_influenza_diagnostic_test,Viral_neuraminidase,Real-time_polymerase_chain_reaction,Human_flu,Pharmaceutical_industry,Bird_flu
2012-42,-0.3540861037931992,-0.23199875550024443,-0.6524268265206496,-0.07256699233399247,-0.051896649212085456,-0.2969158129057375,-0.3978393895797552,-0.21641176617349867,-0.2469450334428426,-0.2976350501905112
2012-43,0.13229129277592291,-0.21835637139428418,-0.18192835246164665,-0.06211706490293296,-0.051896649212085456,-0.2969158129057375,-0.2467858729114398,-0.037973104463461506,-0.20114242425396003,0.17834957997279333
2012-44,-0.017052804095923718,-0.22259478199031066,-0.1102091256050851,-0.06037541033108971,-0.051896649212085456,-0.2969158129057375,-0.30821628145827923,-0.06492477732591503,-0.21234491999984773,0.0300546712311987
2012-45,-0.10080658815243229,-0.22345570914262855,-0.11427830159694675,-0.06705175285648883,-0.051896649212085456,-0.2969158129057375,-0.35441274005952567,-0.09327050223297823,-0.2231220045148789,-0.07393188016169275
2012-46,0.11513690327037296,-0.232329881328059,0.08256808700936047,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,-0.22152329033706744,-0.24815036526360268,-0.3181681914008858
2012-47,0.23622671154484318,-0.232329881328059,-0.05324066171902203,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,-0.22152329033706744,-0.24815036526360268,-0.3181681914008858
2012-48,0.26044467319973724,-0.232329881328059,-0.10257942062034452,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,-0.22152329033706744,-0.24815036526360268,-0.3181681914008858
2012-49,0.3028261060958018,-0.21921729854660205,-0.11580424259389487,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,-0.22152329033706744,-0.24815036526360268,0.6012602427970009
2012-50,0.4067615248647221,-0.21676696742077425,-0.10003618562543098,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,-0.22152329033706744,-0.24815036526360268,0.6818318085991142
2012-51,0.4077706066003427,-0.21756166940752922,0.1364846689015273,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,0.1757815423766872,-0.24815036526360268,0.5759240276192871
2012-52,0.329062231221937,-0.21570736477176763,0.07748161701953342,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.4054563645525517,0.21109752750679872,-0.24815036526360268,0.45368579515050705
2013-1,0.263471918406599,-0.21789279523534377,0.06018761905412141,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.14875441579401968,0.2078447394027095,-0.24815036526360268,0.3631478508661651
2013-2,0.2654900818778402,-0.21239610649362192,0.007796978158902692,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.14192881484437084,0.16044696988598087,-0.24815036526360268,0.34837839841659735
2013-3,0.13531853798278465,-0.21934974887772787,-0.17582458847385418,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.17665035010997576,0.04055849404954965,-0.24815036526360268,0.16850327833974818
2013-4,0.2654900818778402,-0.2159722654340193,0.00016727317416210182,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.12224338601857206,0.07959195129862028,-0.24815036526360268,0.28930058861832647
2013-5,0.15045476401709343,-0.2174292190764034,-0.06443089569664157,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.174770836805,0.0005956687707392409,-0.24815036526360268,0.16297974327730821
2013-6,0.13632761971840524,-0.21524378861282722,-0.04154178074241979,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.18199212476622267,-0.022173847957885295,-0.19922807371510579,0.16057820629363867
2013-7,0.1474275188102317,-0.21232988132805902,-0.010005666805492018,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.2837826084935943,-0.027750056136323958,-0.19809364376615515,0.17066466162505076
2013-8,0.12119139368409647,-0.21385306013600602,-0.02780831176988673,-0.07314754385794021,-0.051896649212085456,-0.2969158129057375,-0.1767492718628692,-0.037043736433721726,-0.19625019509911035,0.1809912706548298
2013-9,0.007165157558970329,-0.2170318680830259,-0.0674827776905378,-0.06356844371280233,-0.051896649212085456,-0.2969158129057375,0.005959205731353751,-0.04726678476085927,-0.15626153939859985,0.13728329755204405
2013-10,-0.06347056393447063,-0.21974709987110536,-0.17124676548300982,-0.06647120133254109,-0.051896649212085456,-0.2969158129057375,-0.07624477092311256,-0.05377236096903771,-0.16526607711839564,0.07808541090458967
2013-11,0.05156475392627608,-0.2165682919240855,-0.1361501225532031,-0.06037541033108971,-0.051896649212085456,-0.2969158129057375,-0.05151433269974725,-0.013809535690227302,-0.14115944070319428,0.09645716882966171
2013-12,0.023310465328899695,-0.21213120583137027,-0.1188561245877911,-0.06676147709451496,-0.051896649212085456,-0.2969158129057375,-0.059922681695691454,-0.030538160225543287,-0.13463646849672803,0.16982412368076644
2013-13,0.08789169640861715,-0.2127272323214365,-0.12038206558473923,-0.06414899523675008,-0.051896649212085456,-0.2969158129057375,-0.21730719054918834,-0.001263067288740313,-0.14357010434471443,0.2449922312696233
2013-14,0.056610162604379004,-0.21570736477176763,-0.1773505294708023,-0.06414899523675008,-0.051896649212085456,-0.2969158129057375,-0.29436723605319465,-0.011950799630747747,-0.1457680623708063,0.15757628506405172
2013-15,-0.0523706648426442,-0.214647762122761,-0.17277270647995793,-0.06211706490293296,-0.051896649212085456,-0.2969158129057375,-0.30534755062436886,-0.004515855392829532,-0.15576522629593392,0.08829194308518525
