week,Afrikaanse-paardenpestvirus,Hepatitis_B,Hersenvliesontsteking,Orthopneu,Dysosmie,Aviair_reovirus,week,Griep,Klierkoorts,Hemolytische_anemie
2015-42,-0.15170940170940173,0.0743345543345543,0.12172044846622272,-0.24399038461538464,0.05690125477359516,-0.05074786324786324,0.3431372549019608,-0.04974827913802614,0.15624611656517956,-0.3396833052005466
2015-43,-0.15170940170940173,0.06943659515088084,0.1341841670935063,-0.24399038461538464,-0.011183851609383568,-0.05074786324786324,0.3627450980392157,-0.05221203352066615,0.07829781284950912,-0.3396833052005466
2015-44,-0.15170940170940173,0.10399441828013253,0.1333304877354732,-0.24399038461538464,-0.14309874522640484,-0.05074786324786324,0.38235294117647056,-0.02653213207084145,0.04167961144940143,-0.3396833052005466
2015-45,-0.15170940170940173,0.08930054072911213,0.10447612543395365,-0.24399038461538464,0.09094380796508451,-0.05074786324786324,0.4019607843137255,-0.0009469904049644497,0.016100720765502667,-0.3396833052005466
2015-46,-0.15170940170940173,0.1486202686202686,0.06230436514711738,-0.24399038461538464,0.005837424986361113,-0.05074786324786324,0.4215686274509804,-0.025868813583207605,0.031044177954517208,-0.3396833052005466
2015-47,-0.15170940170940173,0.25093319379033663,0.17277047407660348,-0.24399038461538464,0.0015821058374249429,-0.05074786324786324,0.4411764705882353,0.006633792310850958,0.07587454952156082,-0.3396833052005466
2015-48,-0.15170940170940173,0.11841618698761552,0.07510955551761422,-0.24399038461538464,-0.21118385160938358,-0.05074786324786324,0.46078431372549017,-0.0195199080587122,-0.03694182096847687,-0.3396833052005466
2015-49,-0.15170940170940173,0.11025292168149307,0.2577969381367025,-0.24399038461538464,0.022858701582105793,-0.05074786324786324,0.4803921568627451,0.05534032125996496,0.0511034132803115,-0.3365485089623021
2015-50,-0.15170940170940173,0.07542298970870397,0.20947868647202775,-0.24399038461538464,-0.11756683033278782,-0.05074786324786324,0.5,0.06898573014843269,0.024178265191997013,-0.3365485089623021
2015-51,-0.15170940170940173,-0.09382871097156814,0.07084115872744862,-0.24399038461538464,-0.22820512820512825,-0.05074786324786324,0.5196078431372549,0.08585297169112197,-0.0866187191914171,-0.3396833052005466
2015-52,-0.15170940170940173,-0.1730123844409559,-0.06984519947641002,-0.24399038461538464,-0.21543917075831973,-0.05074786324786324,0.5392156862745098,0.11304902968410975,-0.14356540739820223,-0.3396833052005466
2016-01,-0.15170940170940173,-0.45056340484911916,0.30270047236924474,-0.24399038461538464,0.035624659028914304,-0.05074786324786324,-0.46078431372549017,0.750119057164447,0.05635381715753282,-0.3396833052005466
2016-02,-0.15170940170940173,0.2307971393685679,0.49255876159581125,-0.24399038461538464,0.12924168030551006,-0.05074786324786324,-0.4411764705882353,0.6914627509008253,0.1473608176960358,-0.3396833052005466
2016-03,-0.15170940170940173,0.2868515611372754,0.3901172386318365,-0.24399038461538464,0.04413529732678664,-0.05074786324786324,-0.4215686274509804,0.509997764640994,0.1771131063336233,-0.3396833052005466
2016-04,-0.15170940170940173,0.26589918018489445,0.2885293950258949,-0.24399038461538464,0.15477359519912706,-0.05074786324786324,-0.4019607843137255,0.3081594248324088,0.15880400563356944,-0.3396833052005466
2016-05,-0.15170940170940173,0.15623931623931622,0.18916111775083944,-0.24399038461538464,0.18456082924168027,-0.05074786324786324,-0.38235294117647056,0.27442494174703025,0.1726704568990514,-0.3396833052005466
2016-06,-0.15170940170940173,0.26780394208965635,0.1848927209606738,-0.24399038461538464,0.07392253136933984,-0.05074786324786324,-0.3627450980392157,0.17852804039196532,0.2576192991176836,-0.3396833052005466
2016-07,-0.15170940170940173,0.25283795569509854,0.18813670252119968,-0.24399038461538464,0.07392253136933984,-0.05074786324786324,-0.3431372549019608,0.08452633471585427,0.22261660660287477,-0.3396833052005466
2016-08,-0.15170940170940173,0.13909645909645907,0.07715838597689371,-0.24399038461538464,0.039879978177850474,-0.05074786324786324,-0.3235294117647059,0.029849939378035647,0.22019334327492646,-0.3365485089623021
2016-09,-0.15170940170940173,0.16957264957264953,0.028498662569005722,-0.24399038461538464,0.15477359519912706,-0.05074786324786324,-0.30392156862745096,0.01326697718718944,0.14561068307029534,-0.3396833052005466
2016-10,-0.15170940170940173,0.1069876155590441,0.05632860964088553,-0.24399038461538464,-0.015439170758319737,-0.05074786324786324,-0.28431372549019607,-0.02056226568213682,0.09647228780912141,-0.3396833052005466
2016-11,-0.15170940170940173,0.1978719693005407,0.13503784645153943,-0.24399038461538464,0.20158210583742495,-0.05074786324786324,-0.2647058823529412,-0.026058333151102987,0.21198117310799056,-0.3396833052005466
2016-12,-0.15170940170940173,0.16957264957264953,0.1333304877354732,-0.24399038461538464,-0.057992362247681443,-0.05074786324786324,-0.24509803921568626,-0.07087971095836158,0.15974638581666045,-0.3396833052005466
2016-13,-0.15170940170940173,0.21365428222571076,0.04301121165556881,-0.24399038461538464,0.11222040370976537,-0.05074786324786324,-0.22549019607843138,-0.08717839379736471,0.18020949836377945,-0.3396833052005466
2016-14,-0.15170940170940173,0.18072911215768356,0.012108018894769765,-0.24399038461538464,0.0654118930714675,-0.05074786324786324,-0.20588235294117646,-0.10859410496954325,0.13241736050702124,-0.3365485089623021
2016-15,-0.15170940170940173,0.0797767312053026,0.04847475954698079,-0.24399038461538464,0.010092744135297283,-0.05074786324786324,-0.18627450980392157,-0.13749583907358948,0.134705998094528,-0.3365485089623021
